PC-EKF V3 — UWB Realtime
  Q=0.01  R_base=300.0  R_scale=10.0
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)      S0      S1      S2      S3
--------------------------------------------------------------------
[EKF] init  x=6532.1  y=995.3
   0.032       1     6365.8      895.3   0.345   0.422   0.506   0.000
   0.036       2     6348.5      899.7   0.277   0.481   0.467   0.011
   0.040       3     6358.5      911.1   0.322   0.516   0.469   0.050
   0.051       4     6368.6      900.5   0.423   0.510   0.357   0.017
   0.068       5     6369.8      894.3   0.360   0.513   0.419   0.016
   0.085       6     6376.2      897.5   0.405   0.528   0.419   0.072
   0.104       7     6381.7      904.9   0.421   0.543   0.456   0.141
   0.120       8     6383.3      906.9   0.405   0.527   0.418   0.070
   0.137       9     6384.4      907.2   0.376   0.524   0.432   0.054
   0.154      10     6385.9      905.3   0.403   0.520   0.397   0.041
   0.170      11     6383.3      898.2   0.315   0.499   0.446   0.003
   0.187      12     6380.8      903.1   0.373   0.541   0.475   0.112
   0.204      13     6385.5      905.9   0.390   0.558   0.502   0.172
   0.221      14     6385.1      907.4   0.407   0.530   0.426   0.084
   0.240      15     6387.1      908.3   0.367   0.536   0.468   0.094
   0.256      16     6388.3      908.4   0.390   0.530   0.435   0.075
   0.274      17     6388.1      907.4   0.408   0.520   0.394   0.043
   0.290      18     6388.6      907.1   0.368   0.526   0.443   0.059
   0.307      19     6388.9      907.1   0.392   0.527   0.426   0.066
   0.324      20     6389.5      908.8   0.361   0.545   0.491   0.124
   0.341      21     6392.3      909.3   0.405   0.539   0.451   0.116
   0.358      22     6391.5      908.3   0.359   0.517   0.431   0.031
   0.376      23     6391.5      908.2   0.369   0.526   0.443   0.061
   0.393      24     6392.8      907.7   0.370   0.529   0.447   0.069
   0.410      25     6395.3      907.3   0.438   0.527   0.408   0.103
   0.426      26     6394.1      906.2   0.323   0.508   0.453   0.023
   0.443      27     6394.0      906.8   0.390   0.533   0.444   0.087
   0.460      28     6393.3      906.9   0.353   0.525   0.455   0.060
   0.477      29     6392.5      907.0   0.395   0.525   0.419   0.059
   0.494      30     6392.2      905.6   0.436   0.509   0.349   0.027
   0.511      31     6392.8      905.0   0.353   0.524   0.453   0.057
   0.528      32     6392.2      904.8   0.404   0.523   0.407   0.056
   0.545      33     6391.5      905.2   0.382   0.529   0.439   0.072
   0.561      34     6391.2      905.6   0.354   0.531   0.466   0.078
   0.578      35     6390.7      905.6   0.358   0.525   0.451   0.059
   0.594      36     6390.7      906.3   0.386   0.538   0.460   0.105
   0.611      37     6391.4      905.2   0.440   0.513   0.362   0.048
   0.628      38     6391.5      906.2   0.405   0.546   0.469   0.140
   0.645      39     6391.5      905.1   0.406   0.517   0.386   0.031
   0.662      40     6391.7      906.1   0.377   0.550   0.491   0.141
   0.679      41     6390.9      906.6   0.385   0.533   0.447   0.086
   0.696      42     6390.8      906.1   0.394   0.522   0.410   0.046
   0.712      43     6390.1      905.9   0.409   0.521   0.398   0.049
   0.729      44     6391.8      907.1   0.404   0.569   0.521   0.215
   0.746      45     6392.2      906.6   0.302   0.514   0.487   0.063
   0.763      46     6392.9      906.4   0.451   0.520   0.387   0.094
   0.780      47     6392.7      906.0   0.362   0.521   0.438   0.045
   0.798      48     6392.7      905.0   0.386   0.516   0.403   0.025
   0.815      49     6392.8      904.3   0.426   0.517   0.375   0.045
   0.832      50     6392.7      903.8   0.346   0.518   0.447   0.040
   0.848      51     6392.7      904.0   0.347   0.534   0.479   0.090
   0.865      52     6393.0      904.2   0.404   0.536   0.443   0.104
   0.882      53     6393.8      903.7   0.426   0.523   0.396   0.070
   0.899      54     6394.0      903.2   0.392   0.521   0.410   0.044
   0.916      55     6394.0      903.6   0.327   0.541   0.509   0.121
   0.933      56     6394.1      902.7   0.409   0.515   0.381   0.028
   0.950      57     6393.8      903.4   0.419   0.541   0.452   0.135
   0.967      58     6393.1      902.8   0.354   0.514   0.430   0.023
   0.983      59     6393.1      902.9   0.389   0.533   0.443   0.085
   1.002      60     6392.5      903.2   0.348   0.530   0.469   0.077
   1.018      61     6392.6      903.1   0.431   0.524   0.397   0.079
   1.035      62     6392.5      902.6   0.420   0.517   0.378   0.039
   1.051      63     6392.9      902.9   0.403   0.542   0.461   0.126
   1.068      64     6393.2      902.8   0.367   0.530   0.454   0.074
   1.085      65     6394.0      902.3   0.477   0.488   0.342   0.100
   1.102      66     6393.4      902.0   0.358   0.517   0.432   0.032
   1.118      67     6393.4      902.0   0.401   0.530   0.427   0.078
   1.136      68     6393.4      901.7   0.398   0.524   0.412   0.055
   1.152      69     6393.3      901.5   0.403   0.522   0.405   0.051
   1.169      70     6393.8      902.2   0.380   0.569   0.530   0.203
   1.186      71     6394.0      902.2   0.372   0.531   0.451   0.076
   1.203      72     6394.1      901.8   0.397   0.522   0.409   0.049
   1.220      73     6394.5      901.2   0.406   0.519   0.395   0.042
   1.237      74     6394.5      900.7   0.364   0.519   0.431   0.038
   1.254      75     6394.4      901.1   0.363   0.541   0.481   0.110
   1.270      76     6394.6      901.4   0.381   0.547   0.482   0.131
   1.287      77     6394.3      901.3   0.354   0.523   0.450   0.053
   1.304      78     6394.2      900.9   0.303   0.506   0.473   0.039
   1.321      79     6394.5      900.4   0.339   0.517   0.453   0.041
   1.338      80     6394.3      900.9   0.396   0.548   0.478   0.143
   1.356      81     6393.9      900.7   0.357   0.519   0.438   0.039
   1.373      82     6393.6      900.6   0.357   0.521   0.441   0.044
   1.390      83     6393.7      901.0   0.332   0.549   0.518   0.140
   1.406      84     6393.9      901.4   0.358   0.553   0.509   0.149
   1.423      85     6393.6      901.2   0.375   0.520   0.421   0.038
   1.440      86     6393.2      901.2   0.380   0.523   0.426   0.050
   1.457      87     6393.2      900.9   0.403   0.522   0.404   0.051
   1.474      88     6392.9      900.4   0.371   0.514   0.412   0.019
   1.494      89     6392.6      900.5   0.411   0.528   0.419   0.080
   1.510      90     6392.6      900.2   0.384   0.521   0.417   0.043
   1.527      91     6392.6      899.8   0.397   0.519   0.401   0.038
   1.544      92     6392.6      899.9   0.426   0.529   0.415   0.094
   1.561      93     6392.2      899.8   0.308   0.508   0.470   0.039
   1.578      94     6392.2      899.6   0.408   0.524   0.406   0.060
   1.595      95     6392.4      899.6   0.433   0.528   0.410   0.097
   1.611      96     6392.5      899.5   0.436   0.523   0.393   0.081
   1.629      97     6392.2      899.2   0.462   0.496   0.322   0.043
   1.646      98     6392.5      899.7   0.371   0.566   0.526   0.188
   1.662      99     6392.2      899.6   0.341   0.518   0.453   0.044
   1.679     100     6392.4      899.0   0.324   0.509   0.454   0.026
   1.696     101     6392.8      899.7   0.379   0.592   0.572   0.269
   1.713     102     6392.7      900.0   0.433   0.542   0.453   0.152
   1.730     103     6392.9      899.9   0.382   0.528   0.436   0.067
   1.747     104     6392.7      900.2   0.360   0.540   0.481   0.107
   1.764     105     6392.5      900.2   0.387   0.529   0.434   0.071
   1.780     106     6392.3      900.2   0.379   0.527   0.437   0.064
   1.797     107     6392.3      900.1   0.360   0.524   0.446   0.055
   1.813     108     6392.3      900.2   0.365   0.538   0.474   0.102
   1.830     109     6392.7      900.3   0.426   0.536   0.436   0.122
   1.847     110     6392.7      900.4   0.384   0.535   0.453   0.093
   1.864     111     6392.5      900.9   0.400   0.555   0.494   0.169
   1.881     112     6392.6      900.6   0.430   0.519   0.381   0.057
   1.898     113     6392.8      901.1   0.427   0.553   0.482   0.184
   1.915     114     6392.9      901.0   0.402   0.532   0.434   0.089
   1.932     115     6392.6      901.0   0.358   0.522   0.443   0.048
   1.948     116     6392.6      901.1   0.313   0.529   0.500   0.096
   1.965     117     6392.6      901.6   0.415   0.560   0.500   0.195
   1.982     118     6392.7      901.5   0.377   0.527   0.437   0.062
   1.999     119     6392.3      901.5   0.333   0.519   0.462   0.050
   2.018     120     6392.1      901.4   0.376   0.522   0.425   0.044
   2.034     121     6392.3      901.3   0.405   0.531   0.430   0.088
   2.051     122     6392.3      901.3   0.345   0.528   0.470   0.074
   2.067     123     6392.2      901.4   0.367   0.531   0.455   0.076
   2.084     124     6392.0      901.5   0.368   0.538   0.470   0.099
   2.101     125     6391.9      901.6   0.360   0.529   0.457   0.071
   2.118     126     6391.9      901.8   0.374   0.550   0.493   0.141
   2.135     127     6392.1      901.9   0.401   0.537   0.449   0.107
   2.152     128     6391.8      902.2   0.361   0.541   0.483   0.111
   2.169     129     6391.9      902.4   0.420   0.541   0.450   0.132
   2.186     130     6391.7      902.2   0.351   0.517   0.439   0.033
   2.203     131     6391.8      902.0   0.385   0.524   0.425   0.054
   2.219     132     6391.9      902.0   0.360   0.534   0.468   0.089
   2.236     133     6392.0      902.2   0.381   0.546   0.482   0.131
   2.253     134     6392.0      902.3   0.391   0.536   0.451   0.099
   2.270     135     6391.5      901.9   0.398   0.511   0.376   0.006
   2.287     136     6391.3      901.9   0.350   0.527   0.461   0.067
   2.304     137     6391.2      901.9   0.377   0.529   0.442   0.069
   2.321     138     6391.2      901.9   0.384   0.529   0.438   0.071
   2.338     139     6391.5      901.6   0.389   0.524   0.419   0.052
   2.354     140     6391.5      901.6   0.358   0.530   0.463   0.077
   2.371     141     6391.3      901.9   0.388   0.540   0.463   0.112
   2.388     142     6391.2      901.5   0.385   0.516   0.402   0.024
   2.405     143     6391.0      901.6   0.435   0.525   0.401   0.089
   2.422     144     6390.7      901.8   0.321   0.529   0.493   0.088
   2.439     145     6390.9      901.5   0.422   0.518   0.383   0.049
   2.456     146     6391.0      901.4   0.422   0.522   0.394   0.063
