PC-EKF V4 — UWB Realtime (Numba JIT, Gaussian Pairwise Scoring)
  Q=0.01  R_base=50.0  R_scale=10.0
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

[PC-EKF] Warming up JIT kernels... OK
Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)      S0      S1      S2      S3   dt(ms)
------------------------------------------------------------------------------
[EKF] init  x=6401.1  y=831.6
   0.000       1     6281.9      850.7   0.953   0.950   0.961   0.867    0.095
   0.003       2     6284.3      852.2   0.059   0.059   0.000   0.000    0.073
   0.006       3     6285.2      848.4   0.045   0.045   0.000   0.000    0.066
   0.008       4     6289.4      848.8   0.078   0.078   0.000   0.000    0.057
   0.011       5     6292.7      848.6   0.079   0.079   0.000   0.000    0.057
   0.013       6     6295.8      850.9   0.076   0.076   0.000   0.000    0.057
   0.016       7     6295.0      848.8   0.004   0.004   0.000   0.000    0.053
   0.018       8     6294.4      849.5   0.034   0.034   0.000   0.000    0.053
   0.021       9     6294.0      850.1   0.030   0.030   0.000   0.000    0.077
   0.023      10     6293.2      848.4   0.026   0.026   0.000   0.000    0.057
   0.026      11     6292.5      846.9   0.031   0.031   0.000   0.000    0.055
   0.028      12     6288.4      844.4   0.000   0.000   0.000   0.000    0.052
   0.031      13     6284.7      842.1   0.000   0.000   0.000   0.000    0.053
   0.033      14     6280.7      836.3   0.000   0.000   0.000   0.000    0.054
   0.035      15     6277.4      832.8   0.000   0.000   0.000   0.000    0.051
   0.038      16     6275.2      833.2   0.000   0.000   0.000   0.000    0.053
   0.040      17     6277.2      833.7   0.000   0.000   0.000   0.000    0.052
   0.043      18     6278.9      833.2   0.000   0.000   0.000   0.000    0.052
   0.045      19     6279.0      833.4   0.039   0.039   0.000   0.000    0.052
   0.048      20     6279.3      834.6   0.000   0.000   0.000   0.000    0.056
   0.050      21     6279.0      835.4   0.000   0.000   0.000   0.000    0.053
   0.053      22     6278.4      834.0   0.000   0.000   0.000   0.000    0.053
   0.055      23     6277.9      833.3   0.000   0.000   0.000   0.000    0.100
   0.058      24     6278.9      834.0   0.000   0.000   0.000   0.000    0.059
   0.060      25     6278.4      832.9   0.000   0.000   0.000   0.000    0.053
   0.063      26     6279.5      831.5   0.000   0.000   0.000   0.000    0.054
   0.065      27     6280.3      829.3   0.000   0.000   0.000   0.000    0.054
   0.068      28     6281.0      826.8   0.000   0.000   0.000   0.000    0.051
   0.070      29     6280.9      827.5   0.000   0.000   0.000   0.000    0.061
   0.072      30     6281.9      827.5   0.009   0.009   0.000   0.000    0.053
   0.075      31     6283.0      828.8   0.008   0.008   0.000   0.000    0.053
   0.077      32     6283.4      827.8   0.000   0.000   0.000   0.000    0.056
   0.080      33     6284.1      826.3   0.054   0.054   0.000   0.000    0.051
   0.082      34     6283.1      825.8   0.000   0.000   0.000   0.000    0.091
   0.085      35     6282.2      825.9   0.000   0.000   0.000   0.000    0.065
   0.087      36     6281.9      826.0   0.000   0.000   0.000   0.000    0.100
   0.090      37     6281.8      825.9   0.000   0.000   0.000   0.000    0.054
   0.092      38     6281.5      826.3   0.000   0.000   0.000   0.000    0.089
   0.094      39     6281.3      826.7   0.000   0.000   0.000   0.000    0.051
   0.097      40     6281.2      827.7   0.000   0.000   0.000   0.000    0.059
   0.099      41     6281.2      828.5   0.000   0.000   0.000   0.000    0.051
   0.102      42     6280.9      829.3   0.000   0.000   0.000   0.000    0.053
