LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
   3.010     179     6341.1     4123.8
   3.026     180     6396.3     4176.0
   3.043     181     6349.4     4168.7
   3.060     182     6380.1     4132.2
   3.077     183     6376.4     4196.6
   3.094     184     6372.0     4233.6
   3.111     185     6375.4     4139.9
   3.128     186     6369.2     4157.2
   3.145     187     6393.3     4116.0
   3.162     188     6363.4     4213.8
   3.178     189     6396.6     4172.5
   3.195     190     6316.5     4116.4
   3.212     191     6321.6     4132.1
   3.229     192     6337.8     4193.3
   3.246     193     6390.0     4231.8
   3.263     194     6315.6     4141.6
   3.280     195     6321.9     4097.9
   3.297     196     6327.2     4148.3
   3.313     197     6342.1     4141.7
   3.332     198     6315.2     4174.5
   3.348     199     6321.1     4101.8
   3.365     200     6354.3     4170.8
   3.382     201     6399.3     4140.7
   3.399     202     6336.9     4187.0
   3.416     203     6350.3     4170.5
   3.433     204     6401.7     4091.7
   3.449     205     6382.3     4178.3
   3.466     206     6302.9     4120.6
   3.483     207     6400.0     4190.0
   3.500     208     6349.9     4109.3
   3.517     209     6381.9     4192.0
   3.534     210     6377.0     4235.9
   3.551     211     6356.6     4148.6
   3.568     212     6334.7     4175.1
   3.585     213     6375.3     4143.3
   3.601     214     6368.3     4164.3
   3.618     215     6407.1     4146.8
   3.635     216     6279.4     4178.3
   3.652     217     6336.0     4177.1
   3.668     218     6330.0     4200.5
   3.685     219     6271.3     4199.2
   3.702     220     6261.9     4137.5
   3.718     221     6287.9     4197.9
   3.735     222     6315.0     4272.1
   3.751     223     6372.3     4130.9
   3.768     224     6375.7     4160.3
   3.785     225     6325.4     4110.7
   3.802     226     6364.5     4120.4
   3.819     227     6356.3     4174.4
   3.836     228     6339.0     4181.1
   3.853     229     6372.3     4182.5
   3.871     230     6364.0     4193.6
   3.888     231     6302.8     4197.2
   3.903     232     6376.2     4093.1
   3.920     233     6321.2     4093.2
   3.937     234     6338.9     4188.6
   3.957     235     6353.0     4181.9
   3.974     236     6311.5     4170.4
   3.991     237     6391.1     4151.7
   4.008     238     6374.4     4210.9
   4.024     239     6359.4     4208.7
   4.041     240     6416.3     4246.3
   4.058     241     6330.6     4131.8
   4.075     242     6346.4     4233.5
   4.092     243     6350.9     4110.7
   4.109     244     6359.9     4144.3
   4.126     245     6351.7     4198.2
   4.143     246     6354.9     4194.1
   4.159     247     6361.5     4176.5
   4.176     248     6340.2     4191.3
   4.193     249     6350.6     4127.3
   4.210     250     6318.8     4107.8
   4.227     251     6325.7     4181.2
   4.245     252     6354.6     4085.1
   4.261     253     6337.7     4153.4
   4.278     254     6342.0     4150.8
   4.295     255     6375.1     4112.5
   4.312     256     6391.1     4229.0
   4.330     257     6345.0     4124.7
   4.346     258     6335.7     4124.9
   4.363     259     6353.8     4140.8
   4.380     260     6387.4     4132.9
   4.397     261     6329.6     4134.6
   4.414     262     6350.9     4141.5
   4.431     263     6355.7     4147.2
   4.448     264     6337.5     4174.3
   4.464     265     6380.8     4150.7
   4.481     266     6345.8     4086.5
   4.498     267     6349.9     4131.4
   4.515     268     6347.5     4146.1
   4.532     269     6365.8     4182.4
   4.549     270     6327.0     4191.3
   4.566     271     6343.2     4100.4
   4.583     272     6367.0     4174.9
   4.599     273     6335.2     4089.4
   4.616     274     6335.8     4147.0
   4.633     275     6304.7     4135.6
   4.650     276     6355.2     4172.9
   4.667     277     6403.3     4138.3
   4.684     278     6355.2     4132.9
   4.701     279     6365.2     4186.3
   4.718     280     6347.8     4114.7
   4.735     281     6363.8     4062.7
   4.753     282     6346.2     4105.3
   4.771     283     6395.8     4179.4
