LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
   0.001       1       15.8     1010.9
   0.015       2       15.2      962.3
   0.032       3      -44.3     1013.6
   0.049       4       16.3     1029.1
   0.066       5        3.8     1006.2
   0.083       6      -11.1     1010.3
   0.100       7      -22.9     1000.8
   0.117       8      -26.6      961.7
   0.134       9       -0.4     1028.2
   0.151      10      -11.8     1017.9
   0.167      11       48.1      992.2
   0.184      12       -9.8     1018.3
   0.201      13       18.1      990.2
   0.218      14       21.6      987.1
   0.235      15      -18.9      979.7
   0.252      16       -1.7     1036.8
   0.269      17      -11.9      970.3
   0.286      18       -7.8      972.8
   0.302      19        3.5     1017.3
   0.319      20       18.5     1000.7
   0.336      21        1.8      988.6
   0.353      22       13.7     1006.9
   0.370      23       -5.8      975.5
   0.387      24        5.4     1016.9
   0.404      25       -7.0     1071.1
   0.421      26       -3.1      961.8
   0.438      27      -22.9     1018.5
   0.455      28      -13.0     1006.4
   0.471      29       -1.5      978.8
   0.488      30        0.3     1021.5
   0.505      31      -14.7      973.8
   0.522      32       12.9     1050.9
   0.539      33      -19.1     1008.1
   0.556      34      -24.0      948.8
   0.573      35       12.3      994.9
   0.589      36        8.2      984.6
   0.606      37        0.4      966.6
   0.623      38      -39.0     1003.3
   0.640      39      -16.0      974.3
   0.657      40       -2.1     1014.7
   0.674      41      -39.5      991.2
   0.691      42       -6.7      969.6
   0.708      43       -2.4      951.2
   0.725      44       -6.4      972.3
   0.741      45        1.7     1036.0
   0.758      46      -44.2      977.2
   0.775      47      -40.0      998.3
   0.792      48      -16.9      958.3
   0.811      49      -47.4      951.8
   0.828      50      -20.3      946.6
   0.845      51        1.5     1009.2
   0.862      52      -42.0      980.2
   0.878      53      -55.1      936.1
   0.895      54       -6.9     1003.4
   0.912      55      -20.0      970.4
   0.929      56      -38.2      915.0
   0.946      57      -11.0     1016.7
   0.963      58       14.9     1008.5
   0.980      59      -18.7      976.2
   0.997      60       15.1      965.9
   1.013      61      -20.0     1014.6
   1.030      62      -66.4      964.0
   1.047      63      -28.3      974.9
   1.064      64      -32.8     1020.6
   1.081      65      -14.5     1021.0
   1.098      66      -12.9      957.4
   1.115      67       52.3     1035.7
   1.132      68      -19.6      971.0
   1.148      69       -8.9      974.3
   1.165      70       -5.9      965.8
   1.182      71       -6.0      975.1
   1.199      72        6.5      983.4
   1.216      73      -34.9     1001.1
   1.233      74       -2.6      998.8
   1.250      75        4.6      978.3
   1.268      76      -23.5      981.3
   1.285      77      -38.9      945.2
   1.301      78      -26.3     1008.9
   1.318      79      -18.0     1003.6
   1.337      80        6.5      999.7
   1.353      81        1.0      984.6
   1.370      82       -3.1     1012.0
   1.388      83       35.3      980.5
   1.406      84        2.7     1047.5
   1.422      85      -56.0      995.9
   1.439      86      -22.3      977.6
   1.456      87      -16.8      992.7
   1.473      88       16.3      980.0
   1.490      89      -37.2      943.8
   1.507      90      -11.5      942.9
   1.524      91       27.9      954.9
   1.541      92       -7.2     1024.0
   1.558      93      -33.4      956.5
   1.576      94      -26.8      989.3
   1.592      95      -10.8      968.9
   1.609      96       12.0     1014.8
   1.626      97        6.8      941.0
   1.642      98        1.8      982.1
   1.659      99      -34.7      966.3
   1.676     100       -0.6     1022.9
   1.693     101        5.3     1032.2
   1.709     102       -7.7     1004.5
   1.726     103        3.5      969.1
   1.743     104      -25.3      947.1
   1.760     105      -41.2     1015.6
   1.777     106      -54.4      987.6
   1.794     107      -31.1     1002.5
   1.811     108      -31.3      982.0
   1.828     109      -38.1     1004.4
   1.845     110      -34.3      952.9
   1.863     111      -33.2      954.3
   1.879     112      -80.0      953.4
   1.896     113      -26.6     1012.1
   1.913     114       33.3      984.1
   1.930     115        1.3     1006.6
   1.948     116      -35.2     1017.3
   1.965     117      -60.9     1005.5
   1.981     118       -0.5     1011.9
   1.998     119      -46.0      982.6
   2.015     120      -41.9      969.2
   2.032     121        1.8     1005.9
   2.049     122      -33.0      960.8
   2.066     123       32.3      995.2
   2.083     124       -1.6     1034.1
   2.100     125      -41.4     1000.1
   2.117     126       29.3      978.7
   2.133     127      -22.6      984.7
   2.150     128       17.8     1055.2
   2.167     129      -16.4      959.0
   2.184     130      -57.4      972.4
   2.201     131       18.1      990.2
   2.218     132      -17.2      974.2
   2.235     133      -13.1      924.5
   2.252     134       -1.6      960.0
   2.269     135       17.6      994.3
   2.287     136      -10.4     1025.2
   2.303     137        7.9      953.2
   2.320     138      -18.8      955.7
   2.337     139      -20.5      930.9
   2.354     140       -3.1     1009.4
   2.371     141       -8.6     1012.4
   2.388     142        1.2      962.1
   2.405     143      -51.5      936.2
   2.421     144      -11.6      977.9
   2.438     145      -12.0      981.5
   2.455     146      -10.9      978.8
   2.472     147        3.3      975.2
   2.489     148      -36.6     1011.3
   2.506     149      -25.4      975.8
   2.523     150      -35.4      964.0
   2.540     151      -39.6      998.9
   2.556     152      -42.3      909.5
   2.573     153      -10.4      960.8
   2.590     154      -38.2      921.3
   2.607     155      -46.6      939.0
   2.624     156      -30.9      973.8
   2.641     157       10.1      963.1
   2.658     158      -14.1     1009.9
   2.675     159        6.5     1056.3
   2.692     160      -10.4      968.3
   2.708     161        1.7     1007.2
   2.727     162        6.3     1023.5
   2.743     163      -25.4     1041.7
   2.760     164      -21.9      980.5
   2.777     165      -31.3      998.5
   2.794     166       25.9     1044.4
   2.811     167        6.3      980.6
   2.829     168       11.8      976.3
   2.845     169      -17.5      977.8
   2.862     170       -9.8     1002.1
   2.879     171      -22.0      973.0
   2.896     172       12.7      983.9
   2.913     173       -4.1      945.7
   2.931     174       48.0      983.6
   2.948     175        8.9      959.9
   2.965     176      -16.4      966.7
   2.983     177      -13.5      962.8
   2.999     178      -24.9     1045.8
   3.016     179       -0.7      982.3
   3.033     180       -8.8      985.5
   3.050     181       -5.6      975.8
