EKF_RT — Standard Extended Kalman Filter (Numba JIT)
  Q=0.01  R=50.0  (hardcoded)
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

[EKF_RT] Warming up JIT kernels... OK

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)   dt(ms)
--------------------------------------------------
[EKF] init  x=6291.0  y=759.8
   0.000       1     6368.9      883.0    0.074
   0.003       2     6422.4      903.7    0.048
   0.005       3     6443.1      926.1    0.040
   0.008       4     6453.0      941.7    0.037
   0.010       5     6456.8      940.8    0.036
   0.013       6     6447.0      936.0    0.037
   0.015       7     6443.5      934.2    0.036
   0.018       8     6438.9      933.1    0.067
   0.021       9     6440.2      929.6    0.044
   0.023      10     6439.5      924.9    0.039
   0.025      11     6438.0      919.5    0.038
   0.028      12     6439.7      918.1    0.038
   0.030      13     6440.9      917.5    0.036
   0.033      14     6442.5      920.3    0.075
   0.035      15     6440.4      919.7    0.036
   0.038      16     6438.8      920.3    0.046
   0.040      17     6437.2      918.7    0.036
   0.042      18     6437.4      918.5    0.036
   0.045      19     6436.4      919.7    0.037
   0.047      20     6434.9      917.8    0.038
   0.050      21     6432.5      916.5    0.037
   0.052      22     6432.1      915.2    0.039
   0.054      23     6432.0      916.0    0.036
   0.057      24     6432.3      919.1    0.036
   0.059      25     6430.6      916.4    0.035
   0.061      26     6429.6      916.4    0.036
   0.064      27     6428.9      917.2    0.035
   0.066      28     6429.9      918.9    0.038
   0.069      29     6430.5      921.2    0.038
   0.071      30     6429.8      923.6    0.035
   0.074      31     6427.4      924.0    0.036
   0.076      32     6426.6      924.8    0.035
   0.078      33     6426.6      926.3    0.035
   0.081      34     6425.7      926.0    0.036
   0.083      35     6426.3      925.7    0.035
   0.085      36     6426.8      926.1    0.036
