KF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=6357.5  y=4136.0
   0.002       1     6345.8     4135.8
   0.019       2     6353.4     4103.5
   0.036       3     6359.6     4108.4
   0.051       4     6349.6     4132.5
   0.069       5     6355.2     4124.4
   0.085       6     6347.6     4135.3
   0.103       7     6347.1     4138.1
   0.119       8     6343.1     4140.1
   0.137       9     6340.0     4142.4
   0.153      10     6340.1     4144.0
   0.171      11     6340.2     4142.1
   0.188      12     6345.4     4144.3
   0.203      13     6345.7     4143.0
   0.220      14     6346.5     4142.5
   0.237      15     6344.9     4140.8
   0.254      16     6344.6     4142.9
   0.271      17     6344.1     4141.7
   0.288      18     6342.6     4142.0
   0.305      19     6342.4     4139.8
   0.323      20     6340.4     4141.2
   0.339      21     6341.2     4137.2
   0.356      22     6339.5     4140.8
   0.373      23     6339.6     4143.5
   0.390      24     6338.7     4147.6
   0.407      25     6338.4     4147.9
   0.424      26     6337.7     4147.3
   0.441      27     6337.7     4147.5
   0.458      28     6338.1     4145.0
   0.476      29     6338.7     4143.8
   0.493      30     6338.6     4144.3
   0.509      31     6338.4     4145.0
   0.526      32     6338.4     4143.6
   0.543      33     6338.0     4143.8
   0.560      34     6338.0     4143.1
   0.577      35     6337.2     4143.1
   0.594      36     6336.7     4142.9
   0.610      37     6336.5     4142.1
   0.627      38     6335.6     4143.2
   0.644      39     6335.3     4142.6
   0.661      40     6335.0     4142.1
   0.678      41     6335.9     4141.1
   0.695      42     6335.3     4141.7
   0.712      43     6334.9     4140.8
   0.729      44     6335.4     4140.1
   0.745      45     6335.4     4139.8
   0.761      46     6335.3     4139.2
   0.778      47     6335.9     4138.7
   0.795      48     6336.3     4138.5
   0.814      49     6336.0     4139.0
   0.830      50     6335.7     4140.4
   0.847      51     6335.1     4142.0
   0.864      52     6335.5     4142.7
   0.881      53     6334.8     4142.4
   0.897      54     6335.4     4142.0
   0.914      55     6335.5     4142.5
   0.931      56     6335.6     4142.7
   0.948      57     6335.0     4144.1
   0.965      58     6335.0     4143.9
   0.982      59     6334.9     4143.9
   0.999      60     6335.1     4144.0
   1.016      61     6334.8     4145.1
   1.034      62     6334.3     4145.0
   1.050      63     6333.8     4144.4
   1.067      64     6333.3     4144.2
   1.084      65     6333.4     4145.4
   1.101      66     6333.1     4146.9
   1.118      67     6332.8     4147.1
   1.134      68     6332.9     4148.3
   1.151      69     6333.3     4147.8
   1.168      70     6333.6     4147.7
   1.184      71     6334.2     4147.6
   1.201      72     6333.8     4147.4
   1.218      73     6334.1     4147.2
   1.235      74     6334.0     4148.2
   1.252      75     6333.8     4149.8
   1.269      76     6334.1     4149.2
   1.286      77     6332.7     4150.5
   1.303      78     6332.6     4150.6
   1.319      79     6333.0     4150.7
   1.336      80     6332.8     4151.2
   1.353      81     6332.6     4150.6
   1.370      82     6332.0     4150.1
   1.387      83     6332.0     4149.8
   1.404      84     6331.9     4150.1
   1.421      85     6332.0     4149.6
   1.438      86     6332.3     4149.1
   1.456      87     6332.6     4148.9
   1.472      88     6332.7     4149.7
   1.489      89     6333.0     4150.1
   1.506      90     6333.4     4150.4
   1.523      91     6333.2     4150.3
   1.541      92     6333.2     4150.2
   1.558      93     6332.8     4149.7
   1.575      94     6332.5     4149.7
   1.591      95     6332.5     4149.5
