PC-EKF V3 — UWB Realtime
  Q=0.01  R_base=300.0  R_scale=10.0
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)      S0      S1      S2      S3
--------------------------------------------------------------------
[EKF] init  x=-210.6  y=4291.0
   0.032       1       35.2     4025.6   0.418   0.026   0.516   0.370
   0.036       2       26.0     4042.7   0.518   0.129   0.542   0.316
   0.040       3       35.5     4052.2   0.534   0.153   0.548   0.307
   0.055       4       40.2     4055.2   0.562   0.214   0.575   0.323
   0.072       5       19.7     4058.5   0.525   0.208   0.569   0.393
   0.092       6       14.7     4062.4   0.546   0.204   0.572   0.352
   0.108       7       19.6     4056.6   0.620   0.339   0.622   0.357
   0.130       8       23.0     4053.3   0.616   0.330   0.619   0.356
   0.149       9       23.1     4052.2   0.600   0.304   0.609   0.361
   0.166      10       25.4     4052.7   0.621   0.333   0.622   0.342
   0.183      11       29.5     4053.4   0.619   0.325   0.619   0.325
   0.199      12       27.5     4052.9   0.563   0.256   0.587   0.382
   0.218      13       29.5     4051.1   0.622   0.346   0.624   0.363
   0.234      14       28.8     4048.9   0.583   0.382   0.556   0.245
   0.251      15       27.5     4045.8   0.622   0.375   0.627   0.403
   0.269      16       28.4     4044.5   0.603   0.318   0.612   0.373
   0.289      17       29.4     4044.4   0.607   0.315   0.613   0.357
   0.307      18       31.3     4043.4   0.630   0.360   0.631   0.361
   0.323      19       33.2     4042.9   0.591   0.345   0.578   0.255
   0.340      20       32.8     4043.9   0.603   0.304   0.609   0.353
   0.357      21       32.6     4044.2   0.598   0.356   0.585   0.275
   0.374      22       35.1     4045.3   0.569   0.225   0.579   0.320
   0.391      23       34.3     4045.7   0.582   0.279   0.597   0.371
   0.408      24       34.8     4045.3   0.630   0.363   0.631   0.366
   0.424      25       35.3     4045.3   0.597   0.353   0.586   0.273
   0.441      26       35.7     4044.0   0.609   0.384   0.597   0.316
   0.458      27       35.5     4042.8   0.604   0.393   0.589   0.309
   0.475      28       35.3     4042.7   0.630   0.368   0.629   0.361
   0.492      29       36.2     4042.3   0.571   0.262   0.591   0.372
   0.509      30       37.1     4042.9   0.606   0.303   0.610   0.342
   0.526      31       36.3     4043.5   0.587   0.286   0.600   0.368
   0.543      32       36.5     4042.5   0.612   0.388   0.601   0.326
   0.559      33       37.9     4042.8   0.596   0.284   0.602   0.338
   0.576      34       38.7     4042.2   0.621   0.349   0.624   0.371
   0.593      35       38.3     4042.1   0.625   0.358   0.627   0.375
   0.610      36       38.5     4041.2   0.597   0.387   0.579   0.287
   0.627      37       38.8     4041.4   0.628   0.355   0.628   0.352
   0.644      38       39.1     4041.4   0.622   0.361   0.619   0.339
   0.661      39       38.3     4041.0   0.626   0.373   0.629   0.391
   0.678      40       39.4     4040.7   0.599   0.303   0.608   0.362
   0.695      41       39.9     4040.9   0.615   0.346   0.612   0.317
   0.711      42       40.5     4040.0   0.570   0.379   0.532   0.205
   0.728      43       41.1     4039.8   0.629   0.361   0.630   0.366
   0.745      44       41.3     4040.2   0.615   0.347   0.612   0.317
   0.762      45       41.6     4039.8   0.621   0.375   0.616   0.342
   0.779      46       41.8     4039.6   0.626   0.368   0.624   0.353
   0.796      47       41.2     4039.6   0.610   0.335   0.617   0.380
   0.813      48       42.0     4039.8   0.579   0.259   0.592   0.350
   0.830      49       42.4     4039.4   0.627   0.372   0.624   0.355
   0.848      50       40.8     4039.6   0.553   0.273   0.585   0.415
   0.864      51       41.2     4039.3   0.615   0.369   0.609   0.326
   0.881      52       40.8     4039.0   0.611   0.391   0.600   0.326
   0.898      53       40.0     4039.3   0.609   0.331   0.616   0.377
   0.915      54       39.6     4039.2   0.625   0.382   0.622   0.357
   0.932      55       39.9     4039.6   0.609   0.312   0.613   0.345
   0.949      56       39.4     4040.3   0.611   0.349   0.606   0.308
   0.966      57       39.1     4040.7   0.589   0.289   0.602   0.369
   0.982      58       39.6     4040.3   0.629   0.370   0.627   0.359
   0.999      59       40.0     4040.2   0.596   0.359   0.583   0.271
   1.016      60       40.2     4040.9   0.607   0.304   0.610   0.333
   1.033      61       39.9     4041.5   0.616   0.328   0.619   0.349
   1.050      62       40.1     4041.6   0.600   0.302   0.608   0.359
   1.067      63       39.5     4042.1   0.619   0.339   0.622   0.363
   1.084      64       39.4     4042.1   0.622   0.373   0.618   0.345
   1.101      65       39.6     4041.7   0.612   0.379   0.602   0.320
   1.117      66       39.7     4042.0   0.626   0.351   0.625   0.344
   1.134      67       40.2     4042.0   0.587   0.346   0.572   0.245
   1.151      68       40.2     4042.1   0.582   0.354   0.562   0.232
   1.168      69       40.0     4042.0   0.588   0.379   0.564   0.256
   1.185      70       39.5     4041.9   0.627   0.385   0.623   0.363
   1.202      71       39.5     4042.0   0.615   0.334   0.620   0.365
   1.219      72       39.0     4041.8   0.635   0.395   0.636   0.399
   1.236      73       38.9     4041.3   0.615   0.362   0.622   0.401
   1.253      74       39.3     4041.4   0.620   0.346   0.618   0.330
   1.269      75       39.6     4041.4   0.607   0.356   0.599   0.298
   1.286      76       39.5     4041.8   0.613   0.351   0.608   0.313
   1.303      77       39.6     4041.9   0.588   0.350   0.572   0.246
   1.320      78       39.0     4041.9   0.588   0.389   0.562   0.262
   1.337      79       38.7     4041.8   0.622   0.361   0.626   0.387
   1.354      80       38.6     4041.4   0.604   0.396   0.589   0.313
   1.371      81       38.3     4041.8   0.610   0.351   0.604   0.305
   1.388      82       38.4     4041.4   0.635   0.396   0.634   0.391
   1.406      83       38.5     4041.6   0.538   0.202   0.571   0.366
   1.422      84       38.3     4041.9   0.605   0.316   0.612   0.365
   1.439      85       38.3     4041.8   0.617   0.371   0.611   0.329
   1.456      86       38.3     4042.0   0.592   0.292   0.603   0.366
   1.473      87       38.3     4041.9   0.593   0.368   0.575   0.266
   1.490      88       38.3     4042.4   0.607   0.305   0.611   0.340
   1.507      89       38.1     4042.3   0.564   0.381   0.519   0.187
