LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
   0.001       1     -190.6     4255.3
   0.017       2     -170.8     4285.2
   0.033       3     -168.9     4278.0
   0.050       4     -173.9     4267.7
   0.067       5     -176.8     4305.5
   0.084       6     -151.6     4250.6
   0.101       7     -200.5     4229.0
   0.119       8     -236.9     4269.4
   0.135       9     -195.7     4292.4
   0.152      10     -212.1     4284.1
   0.169      11     -159.7     4264.8
   0.185      12     -154.9     4287.8
   0.202      13     -137.5     4286.2
   0.219      14     -183.5     4191.2
   0.236      15     -177.2     4327.2
   0.253      16     -204.8     4223.2
   0.270      17     -173.2     4300.6
   0.286      18     -132.5     4339.7
   0.303      19     -183.3     4249.9
   0.320      20     -157.3     4268.1
   0.337      21     -200.2     4264.5
   0.354      22     -204.8     4261.9
   0.371      23     -201.8     4275.7
   0.388      24     -189.4     4253.7
   0.405      25     -178.4     4366.7
   0.422      26     -165.2     4302.8
   0.438      27     -152.8     4280.7
   0.455      28     -248.1     4264.2
   0.472      29     -194.0     4294.6
   0.489      30     -203.9     4303.5
   0.506      31     -236.6     4330.2
   0.523      32     -177.4     4272.8
   0.540      33     -195.9     4241.9
   0.557      34     -177.6     4272.6
   0.573      35     -189.7     4224.7
   0.590      36     -186.4     4219.1
   0.607      37     -179.9     4188.7
   0.624      38     -215.0     4202.6
   0.641      39     -208.5     4228.2
   0.658      40     -155.3     4255.6
   0.677      41     -123.3     4285.0
   0.693      42     -189.0     4254.3
   0.710      43     -176.6     4292.9
   0.726      44     -155.7     4226.7
   0.743      45     -199.7     4293.6
   0.762      46     -169.9     4237.8
   0.778      47     -202.8     4225.0
   0.795      48     -200.0     4325.2
   0.812      49     -199.3     4262.5
   0.828      50     -186.7     4301.3
   0.845      51     -161.9     4290.4
   0.862      52     -185.2     4282.8
   0.879      53     -184.2     4311.1
   0.897      54     -194.7     4286.9
   0.916      55     -183.5     4305.5
   0.932      56     -214.7     4267.1
   0.949      57     -200.7     4248.4
   0.967      58     -129.4     4310.2
   0.983      59     -194.4     4232.0
   1.002      60     -194.0     4264.5
   1.018      61     -227.5     4250.0
   1.036      62     -184.4     4321.2
   1.053      63     -219.3     4220.8
   1.069      64     -174.8     4281.6
