Standard EKF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[EKF] init  x=6340.9  y=4140.1
   0.002       1     6334.0     4122.8
   0.017       2     6333.2     4121.0
   0.035       3     6333.2     4127.6
   0.051       4     6338.9     4144.1
   0.068       5     6333.5     4149.4
   0.086       6     6329.5     4149.9
   0.103       7     6327.2     4147.7
   0.122       8     6324.2     4151.9
   0.142       9     6327.6     4151.6
   0.158      10     6330.3     4146.6
   0.174      11     6330.6     4145.3
   0.193      12     6330.7     4142.5
   0.209      13     6331.3     4138.7
   0.227      14     6332.0     4137.3
   0.245      15     6333.4     4138.0
   0.261      16     6333.8     4140.1
   0.278      17     6333.2     4140.1
   0.297      18     6331.6     4140.4
   0.314      19     6330.9     4142.9
   0.331      20     6331.7     4141.1
   0.349      21     6331.5     4138.7
   0.365      22     6331.6     4137.6
   0.382      23     6330.9     4137.2
   0.399      24     6331.6     4136.1
   0.416      25     6330.2     4137.4
   0.434      26     6329.4     4139.4
   0.452      27     6328.9     4140.6
   0.469      28     6329.1     4140.0
   0.487      29     6329.5     4140.0
   0.504      30     6329.1     4140.4
   0.522      31     6328.8     4140.4
   0.540      32     6328.3     4141.2
   0.557      33     6328.5     4140.7
   0.574      34     6330.5     4140.9
   0.590      35     6330.8     4140.1
   0.607      36     6331.4     4140.1
   0.626      37     6332.2     4138.9
   0.645      38     6332.8     4138.2
   0.662      39     6333.1     4138.3
   0.679      40     6332.8     4138.2
   0.695      41     6333.6     4137.6
   0.712      42     6334.4     4137.3
   0.729      43     6334.5     4137.1
   0.746      44     6334.3     4136.9
   0.763      45     6333.4     4137.0
   0.780      46     6334.0     4135.7
   0.797      47     6333.9     4135.8
   0.814      48     6334.2     4135.4
   0.832      49     6334.4     4135.2
   0.850      50     6334.6     4135.1
   0.866      51     6334.1     4136.1
   0.883      52     6333.9     4136.6
   0.902      53     6333.6     4136.5
   0.919      54     6333.2     4137.3
   0.936      55     6332.6     4136.8
   0.952      56     6333.4     4136.2
   0.971      57     6334.1     4136.5
   0.988      58     6334.0     4137.0
   1.007      59     6334.4     4136.8
   1.024      60     6335.3     4135.5
   1.042      61     6335.9     4136.0
   1.058      62     6336.9     4135.1
   1.077      63     6338.0     4134.4
   1.093      64     6338.2     4134.3
   1.112      65     6338.1     4133.6
   1.128      66     6337.8     4133.1
   1.145      67     6337.9     4133.9
   1.162      68     6338.4     4133.3
   1.180      69     6338.4     4132.9
   1.198      70     6338.0     4133.6
   1.217      71     6337.8     4133.7
   1.235      72     6337.6     4134.2
   1.252      73     6337.5     4133.3
   1.270      74     6337.2     4133.3
   1.290      75     6337.1     4133.2
   1.308      76     6337.0     4132.9
   1.324      77     6337.3     4132.7
   1.342      78     6338.0     4132.2
   1.360      79     6338.4     4132.4
   1.380      80     6338.9     4132.4
   1.399      81     6339.3     4132.6
   1.415      82     6339.8     4132.6
   1.432      83     6339.9     4132.4
   1.450      84     6340.2     4131.9
   1.466      85     6340.5     4131.7
   1.483      86     6340.8     4131.2
   1.500      87     6340.8     4130.8
   1.517      88     6341.8     4130.9
   1.534      89     6341.8     4130.8
   1.551      90     6342.0     4130.5
   1.568      91     6342.5     4130.3
   1.585      92     6342.0     4130.2
   1.602      93     6341.8     4130.5
   1.618      94     6342.2     4130.2
   1.635      95     6342.4     4130.0
   1.652      96     6342.6     4130.1
   1.669      97     6342.7     4129.6
   1.686      98     6342.6     4129.7
   1.703      99     6342.7     4129.9
   1.720     100     6342.1     4130.0
   1.737     101     6342.2     4129.8
   1.753     102     6342.6     4129.8
   1.770     103     6342.7     4129.7
   1.787     104     6343.2     4129.9
   1.804     105     6343.8     4129.6
   1.821     106     6344.0     4129.4
   1.838     107     6343.7     4129.6
   1.855     108     6343.4     4130.1
   1.872     109     6343.0     4130.3
   1.889     110     6343.0     4130.5
   1.905     111     6342.9     4130.4
   1.922     112     6343.1     4130.2
   1.939     113     6342.9     4130.3
   1.956     114     6342.7     4130.1
   1.973     115     6342.3     4130.0
   1.990     116     6341.9     4130.3
   2.007     117     6341.3     4130.5
   2.024     118     6341.3     4130.7
   2.040     119     6341.3     4130.5
   2.057     120     6341.2     4130.5
   2.074     121     6340.8     4130.6
   2.093     122     6340.4     4130.4
   2.109     123     6340.2     4130.7
   2.126     124     6340.4     4130.7
   2.143     125     6340.3     4131.0
   2.160     126     6340.0     4131.0
   2.177     127     6340.1     4130.7
   2.193     128     6340.2     4130.6
   2.210     129     6340.2     4130.3
   2.227     130     6340.3     4130.0
   2.244     131     6340.8     4129.7
   2.261     132     6340.8     4130.0
   2.278     133     6341.2     4129.5
   2.295     134     6341.4     4129.1
   2.312     135     6341.2     4129.0
   2.330     136     6341.0     4129.2
   2.346     137     6340.6     4129.3
   2.363     138     6340.6     4129.4
   2.380     139     6340.5     4129.6
   2.397     140     6340.4     4129.6
   2.415     141     6340.2     4130.0
   2.432     142     6340.1     4129.8
   2.449     143     6339.9     4129.6
   2.465     144     6339.8     4129.3
   2.482     145     6339.8     4129.3
   2.499     146     6339.9     4129.3
   2.516     147     6340.1     4129.5
   2.533     148     6340.2     4129.6
   2.550     149     6340.3     4129.4
   2.567     150     6340.1     4129.3
   2.584     151     6339.9     4129.0
   2.600     152     6340.1     4129.0
   2.617     153     6340.4     4129.0
   2.634     154     6340.4     4128.5
   2.651     155     6340.5     4128.7
   2.668     156     6340.7     4128.7
   2.685     157     6340.2     4128.8
   2.702     158     6340.1     4129.0
   2.718     159     6340.2     4128.8
   2.736     160     6339.9     4129.0
   2.752     161     6340.0     4128.9
   2.769     162     6339.9     4129.1
   2.786     163     6339.9     4128.8
   2.803     164     6339.8     4128.6
   2.820     165     6339.6     4128.6
   2.837     166     6339.4     4128.8
   2.854     167     6339.6     4128.7
   2.870     168     6339.5     4128.6
   2.888     169     6339.7     4128.4
   2.904     170     6339.5     4128.4
   2.921     171     6339.4     4128.6
   2.938     172     6339.2     4128.7
   2.955     173     6339.0     4128.8
   2.973     174     6339.0     4129.0
