LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
   0.001       1     6533.7     1042.6
   0.017       2     6501.7     1021.4
   0.033       3     6524.8     1054.5
   0.049       4     6514.8     1020.7
   0.066       5     6543.6     1018.3
   0.083       6     6528.8     1026.0
   0.100       7     6541.1     1022.7
   0.117       8     6508.4      940.5
   0.134       9     6541.4     1036.8
   0.151      10     6534.6     1017.2
   0.168      11     6547.8     1009.3
   0.184      12     6576.4      998.8
   0.201      13     6515.8      995.2
   0.218      14     6532.5     1052.0
   0.235      15     6568.1     1004.5
   0.252      16     6568.3     1013.7
   0.270      17     6533.1      992.9
   0.286      18     6536.2     1043.7
   0.302      19     6511.9     1028.0
   0.319      20     6558.2     1026.4
   0.336      21     6545.3     1023.8
   0.352      22     6556.6     1052.8
   0.369      23     6523.9      995.3
   0.386      24     6528.0     1041.6
   0.403      25     6533.4     1028.6
   0.420      26     6533.9      990.7
   0.437      27     6507.8      998.0
   0.454      28     6522.5     1032.1
   0.471      29     6526.0      998.0
   0.487      30     6536.3     1011.7
   0.504      31     6580.0     1014.7
   0.521      32     6519.8     1017.2
   0.538      33     6549.4     1011.5
   0.555      34     6552.2     1068.2
   0.571      35     6506.8     1021.2
   0.588      36     6553.2     1059.1
   0.605      37     6508.9     1069.1
   0.622      38     6546.7      994.4
   0.638      39     6538.2     1018.8
   0.655      40     6528.3     1008.0
   0.672      41     6558.3     1009.8
   0.689      42     6528.2     1019.1
   0.706      43     6539.4     1026.2
   0.723      44     6541.1     1045.6
   0.740      45     6521.7     1006.9
   0.757      46     6481.7     1056.8
   0.775      47     6553.8      968.7
   0.791      48     6541.7      973.6
   0.807      49     6520.5     1002.0
   0.824      50     6545.8     1003.4
   0.843      51     6535.1      982.4
   0.859      52     6521.1     1039.6
   0.876      53     6581.8      995.7
   0.893      54     6541.2     1045.7
   0.910      55     6532.2     1057.6
   0.926      56     6538.7     1011.7
   0.943      57     6551.4     1020.9
   0.960      58     6534.4     1058.1
   0.977      59     6523.6     1005.6
   0.994      60     6530.0     1011.5
   1.011      61     6504.1      999.5
   1.029      62     6550.2     1017.1
   1.045      63     6518.8      963.8
   1.061      64     6544.0     1022.1
   1.078      65     6550.7     1020.0
   1.095      66     6539.1     1026.8
   1.112      67     6532.6     1068.2
   1.129      68     6520.6     1021.5
   1.146      69     6559.3     1070.0
   1.163      70     6545.8     1003.4
   1.180      71     6538.7     1019.5
   1.197      72     6585.0      983.8
   1.213      73     6521.8     1024.4
   1.230      74     6489.3     1063.3
   1.247      75     6522.3     1051.2
   1.264      76     6503.3     1085.2
   1.283      77     6508.0     1084.7
   1.299      78     6502.6     1029.3
   1.316      79     6507.6     1070.7
   1.333      80     6585.8     1017.9
   1.349      81     6517.1     1041.6
   1.368      82     6531.8     1057.9
   1.384      83     6579.5     1024.0
   1.403      84     6572.6     1014.9
   1.419      85     6546.6     1011.0
   1.436      86     6525.3     1015.3
   1.453      87     6624.5      999.2
   1.470      88     6580.6      997.6
   1.486      89     6547.1     1097.7
   1.503      90     6581.2     1016.3
   1.520      91     6532.6     1064.9
   1.537      92     6568.4     1020.6
   1.554      93     6555.6     1023.0
   1.571      94     6514.0     1043.3
   1.588      95     6556.4      968.5
   1.605      96     6548.8     1067.3
   1.621      97     6511.9     1048.6
   1.638      98     6510.5     1026.2
   1.655      99     6500.5      999.1
   1.672     100     6544.9     1013.2
   1.689     101     6542.3     1031.1
   1.706     102     6530.8     1028.7
   1.723     103     6537.1     1023.6
   1.740     104     6547.1      980.8
   1.757     105     6546.1     1055.5
   1.773     106     6572.1      976.8
   1.790     107     6545.5     1025.3
   1.807     108     6599.0      984.9
   1.824     109     6488.5      999.2
   1.841     110     6540.7     1075.7
   1.858     111     6521.1     1052.8
   1.875     112     6554.7     1040.8
   1.892     113     6572.9     1019.8
   1.908     114     6548.9     1063.0
   1.925     115     6569.7     1011.0
   1.942     116     6539.9     1017.9
   1.959     117     6546.5     1086.6
   1.976     118     6543.4     1031.5
   1.993     119     6535.8     1036.4
   2.010     120     6572.2      993.2
   2.027     121     6524.3     1068.3
   2.044     122     6587.4      972.8
   2.060     123     6493.3     1038.2
   2.077     124     6535.0     1045.3
   2.094     125     6529.2     1082.5
   2.113     126     6486.4     1056.3
   2.129     127     6527.0     1072.4
   2.146     128     6547.7     1013.8
   2.163     129     6561.0     1023.7
   2.180     130     6523.4     1005.8
   2.196     131     6511.0     1047.4
   2.212     132     6528.4     1066.1
   2.229     133     6535.7     1082.5
   2.246     134     6527.4     1018.1
   2.263     135     6534.3      991.3
   2.280     136     6546.6     1011.0
   2.297     137     6525.9     1025.3
   2.314     138     6540.6     1059.5
   2.331     139     6497.7     1011.5
   2.347     140     6534.9     1021.3
   2.364     141     6523.8     1019.8
   2.380     142     6513.7     1009.0
   2.397     143     6501.3     1042.0
   2.414     144     6574.5     1022.0
   2.431     145     6529.2     1034.2
   2.448     146     6545.8     1017.9
   2.465     147     6519.0     1053.6
   2.482     148     6518.5     1105.5
   2.498     149     6519.8     1065.5
   2.515     150     6496.6     1056.0
   2.532     151     6498.5     1065.4
   2.549     152     6551.9     1026.1
   2.568     153     6536.5     1019.0
   2.584     154     6511.8     1027.9
   2.601     155     6502.6     1032.5
   2.618     156     6514.4     1037.5
   2.634     157     6534.4     1051.3
   2.651     158     6502.4     1094.1
   2.668     159     6511.7      997.1
   2.685     160     6580.1     1036.3
   2.702     161     6517.4     1055.8
   2.719     162     6535.9     1039.7
   2.736     163     6500.1     1029.2
   2.753     164     6522.5     1032.1
   2.769     165     6523.0     1005.3
   2.786     166     6524.3     1081.4
   2.803     167     6557.6     1051.5
   2.820     168     6553.2     1065.0
   2.837     169     6521.0     1056.3
   2.854     170     6528.3     1049.9
   2.871     171     6512.7     1064.0
   2.888     172     6527.1      996.2
   2.905     173     6537.0     1054.6
   2.923     174     6540.6     1059.5
   2.939     175     6545.8     1003.4
   2.956     176     6505.5     1012.0
   2.973     177     6538.4     1065.9
   2.990     178     6549.5      985.4
   3.007     179     6532.8     1045.8
   3.024     180     6539.5     1077.4
   3.041     181     6562.5     1061.3
   3.057     182     6530.2     1051.7
   3.074     183     6512.7     1004.5
   3.091     184     6544.9     1013.2
   3.108     185     6585.0      963.0
   3.125     186     6506.7     1075.3
   3.142     187     6539.5     1048.0
   3.159     188     6536.4     1071.0
   3.176     189     6525.9     1002.4
   3.192     190     6525.9     1022.1
   3.209     191     6526.6     1037.5
   3.226     192     6546.0     1063.4
   3.243     193     6556.3     1042.1
   3.260     194     6542.9     1006.1
   3.277     195     6560.0     1058.0
