KF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=-222.7  y=4259.7
   0.002       1     -244.7     3956.9
   0.017       2     -224.5     3943.5
   0.035       3     -199.8     3961.3
   0.051       4     -194.5     3967.8
   0.068       5     -200.5     3977.6
   0.085       6     -205.3     3978.2
   0.103       7     -206.4     3979.2
   0.119       8     -201.1     3982.7
   0.136       9     -206.5     3989.7
   0.153      10     -203.9     3995.0
   0.170      11     -205.0     3992.1
   0.188      12     -204.5     3991.6
   0.204      13     -202.7     3986.8
   0.221      14     -203.7     3984.0
   0.237      15     -203.8     3981.6
   0.254      16     -205.8     3983.2
   0.271      17     -207.5     3980.8
   0.288      18     -211.7     3979.4
   0.307      19     -214.0     3982.0
   0.325      20     -217.0     3982.2
   0.342      21     -215.3     3980.5
   0.360      22     -213.8     3980.5
   0.378      23     -213.6     3979.8
   0.395      24     -213.3     3979.0
   0.414      25     -213.9     3976.5
   0.431      26     -213.0     3976.8
   0.449      27     -212.6     3976.7
   0.467      28     -214.0     3974.0
   0.485      29     -213.9     3973.1
   0.501      30     -212.1     3974.1
   0.517      31     -210.3     3975.4
   0.534      32     -211.0     3974.3
   0.552      33     -210.1     3974.2
   0.569      34     -211.0     3973.8
   0.587      35     -210.2     3974.3
   0.605      36     -209.3     3974.5
   0.621      37     -210.1     3974.9
   0.637      38     -210.4     3974.5
   0.654      39     -210.6     3975.0
   0.671      40     -210.8     3972.8
   0.688      41     -211.5     3972.1
   0.706      42     -210.2     3974.2
   0.722      43     -210.1     3974.0
   0.739      44     -209.4     3973.0
   0.756      45     -209.7     3973.5
   0.775      46     -208.9     3972.4
   0.791      47     -209.6     3971.3
   0.809      48     -209.2     3971.7
   0.827      49     -209.2     3971.9
   0.843      50     -208.7     3971.3
   0.860      51     -209.2     3971.0
   0.879      52     -208.7     3971.3
   0.897      53     -209.7     3970.9
   0.913      54     -209.4     3971.0
   0.931      55     -209.3     3971.2
   0.947      56     -209.0     3970.8
   0.964      57     -208.8     3971.4
   0.981      58     -209.2     3972.0
   0.998      59     -208.9     3972.4
   1.015      60     -208.9     3972.4
   1.032      61     -209.1     3972.6
   1.050      62     -209.3     3972.5
   1.066      63     -209.8     3972.8
   1.082      64     -209.9     3972.6
   1.099      65     -210.3     3972.2
   1.116      66     -211.1     3972.8
   1.133      67     -211.2     3972.3
   1.152      68     -211.5     3971.7
   1.168      69     -212.0     3971.4
   1.185      70     -212.2     3972.3
   1.202      71     -213.0     3971.4
   1.219      72     -213.6     3970.1
   1.235      73     -213.5     3970.8
   1.254      74     -213.4     3970.5
   1.270      75     -213.4     3970.4
   1.287      76     -213.1     3969.8
   1.304      77     -213.3     3970.5
   1.321      78     -213.1     3970.8
   1.339      79     -212.8     3971.4
   1.357      80     -212.9     3971.6
   1.373      81     -212.4     3971.3
   1.390      82     -212.3     3971.6
   1.406      83     -213.1     3971.0
   1.423      84     -212.8     3970.9
   1.440      85     -212.5     3970.6
   1.457      86     -212.4     3970.9
   1.474      87     -212.0     3970.9
   1.490      88     -212.1     3971.8
   1.507      89     -212.0     3972.4
   1.524      90     -212.3     3972.4
   1.541      91     -211.9     3973.2
   1.560      92     -211.4     3973.7
   1.576      93     -211.3     3973.9
   1.593      94     -211.3     3973.7
   1.609      95     -211.4     3973.6
