LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
   2.239     184     6442.2      729.5
   2.255     185     6412.6      812.3
   2.272     186     6424.9      671.1
   2.290     187     6445.5      717.2
   2.306     188     6396.8      767.9
   2.323     189     6423.4      695.4
   2.340     190     6406.3      769.4
   2.359     191     6481.7      619.1
   2.375     192     6462.4      752.5
   2.392     193     6360.6      755.6
   2.410     194     6381.0      728.4
   2.428     195     6434.5      803.4
   2.444     196     6423.3      868.7
   2.461     197     6466.5      745.0
   2.478     198     6448.2      786.9
   2.495     199     6439.8      821.7
   2.513     200     6398.1      729.0
   2.530     201     6517.2      664.7
   2.547     202     6477.3      637.4
   2.565     203     6441.6      763.4
   2.581     204     6401.5      743.8
   2.599     205     6416.9      741.7
   2.617     206     6448.9      765.7
   2.634     207     6410.8      737.1
   2.651     208     6431.0      690.3
   2.668     209     6405.6      706.6
   2.686     210     6431.9      722.8
   2.702     211     6408.4      715.2
   2.721     212     6549.6      610.3
   2.738     213     6397.2      787.1
   2.755     214     6421.9      731.9
   2.771     215     6456.4      739.0
   2.789     216     6406.6      665.1
   2.806     217     6452.5      583.7
   2.823     218     6456.3      603.7
   2.843     219     6695.4      874.7
   2.863     220     6687.3      885.6
   2.880     221     6387.6      766.7
   2.897     222     6539.6      694.7
   2.915     223     6412.5      758.6
   2.934     224     6448.6      697.9
   2.951     225     6341.7      752.3
   2.968     226     6418.0      685.8
   2.986     227     6404.9      678.1
   3.005     228     6360.6      711.0
   3.021     229     6349.1      917.8
   3.038     230     6404.4      778.0
   3.055     231     6438.4      823.3
   3.071     232     6374.7      738.2
   3.089     233     6407.2      792.9
   3.107     234     6609.3      471.7
   3.124     235     6529.6      788.6
   3.141     236     6546.9      693.0
   3.157     237     6473.9      791.7
   3.174     238     6469.3      796.4
   3.190     239     6438.9      587.8
   3.208     240     6279.3      767.1
   3.225     241     6317.3      803.1
   3.243     242     6543.9      472.0
   3.259     243     6469.0      667.2
   3.276     244     6518.9      679.9
   3.295     245     6423.9      622.0
   3.310     246     6508.7      727.4
   3.330     247     6491.8      686.1
   3.346     248     6455.7      711.5
   3.363     249     6511.0      590.7
   3.380     250     6457.1      790.1
   3.396     251     6456.1      735.1
   3.417     252     6466.7      737.9
   3.433     253     6395.0      815.3
   3.452     254     6400.5      823.7
   3.470     255     6338.9      752.4
   3.489     256     6344.1      737.5
   3.507     257     6378.3      809.1
   3.525     258     6442.4      748.0
   3.542     259     6387.0      648.3
   3.559     260     6407.5      682.7
   3.576     261     6473.0      579.4
   3.592     262     6441.8      683.1
   3.609     263     6494.4      721.6
   3.628     264     6478.7      637.1
   3.647     265     6473.4      645.2
   3.663     266     6546.2      519.0
   3.683     267     6586.3      572.5
   3.701     268     6568.7      537.5
   3.717     269     6515.3      751.3
   3.734     270     6399.7      741.0
   3.753     271     6423.6      692.2
   3.769     272     6440.0      722.6
   3.786     273     6414.1      783.7
   3.803     274     6367.1      758.1
   3.822     275     6407.0      788.6
   3.838     276     6466.8      723.2
   3.857     277     6475.1      730.8
   3.876     278     6490.6      751.4
   3.892     279     6413.5      626.7
   3.909     280     6386.0      749.6
   3.926     281     6460.5      764.9
   3.942     282     6518.4      786.8
   3.959     283     6449.7      683.9
   3.977     284     6475.9      715.2
   3.996     285     6472.1      667.4
   4.011     286     6518.3      733.1
   4.029     287     6492.8      717.6
   4.045     288     6472.9      765.2
   4.062     289     6487.7      484.2
   4.078     290     6478.7      761.3
   4.097     291     6372.6      665.5
   4.116     292     6416.7      690.0
   4.133     293     6553.8      547.9
   4.152     294     6566.4      546.1
   4.170     295     6552.0      556.9
   4.185     296     6571.5      560.4
   4.201     297     6419.6      748.9
   4.218     298     6493.6      770.3
   4.235     299     6375.8      816.3
   4.252     300     6501.9      617.8
   4.269     301     6440.2      730.3
   4.286     302     6446.8      715.4
   4.304     303     6438.1      734.9
   4.320     304     6419.9      714.0
   4.336     305     6418.8      771.4
   4.353     306     6512.0      608.9
   4.373     307     6388.0      752.3
   4.389     308     6517.5      743.0
   4.406     309     6441.1      696.6
   4.424     310     6454.0      732.3
   4.440     311     6446.9      715.3
   4.458     312     6669.2     1019.6
   4.475     313     6402.0      677.6
   4.491     314     6433.1      805.6
   4.508     315     6482.8      836.8
   4.525     316     6523.9      571.9
   4.542     317     6409.1      731.3
   4.560     318     6443.5      729.6
   4.577     319     6466.9      727.2
   4.593     320     6369.3      685.7
   4.612     321     6386.7      690.1
   4.630     322     6443.7      766.2
   4.647     323     6439.3      786.5
   4.663     324     6459.5      709.9
   4.681     325     6430.2      856.3
   4.698     326     6675.9     1111.1
   4.716     327     6351.0      688.3
   4.732     328     6393.9      797.5
   4.752     329     6359.9      752.1
   4.770     330     6654.6      996.3
   4.788     331     6444.1      711.8
   4.808     332     6447.0      708.1
   4.826     333     6434.3      783.2
   4.845     334     6478.6      842.4
   4.861     335     6406.6      645.2
   4.878     336     6449.1      683.1
   4.896     337     6494.9      751.8
