PC-EKF V3 — UWB Realtime
  Q=0.01  R_base=50.0  R_scale=30.0
  Anchors: ['0x1001', '0x1002', '0x1003', '0x1004']
  Height : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)      S0      S1      S2      S3
--------------------------------------------------------------------
[EKF] init  x=82.5  y=4223.4
   0.032       1      282.3     4006.2   0.405   0.005   0.510   0.368
   0.036       2      287.9     4029.1   0.473   0.022   0.478   0.269
   0.040       3      282.4     4043.1   0.467   0.021   0.496   0.295
   0.044       4      286.4     4046.2   0.462   0.019   0.498   0.302
   0.047       5      284.1     4050.4   0.474   0.042   0.508   0.305
   0.051       6      282.1     4056.9   0.465   0.026   0.502   0.304
   0.055       7      285.4     4054.5   0.494   0.079   0.521   0.305
   0.058       8      283.2     4054.4   0.473   0.062   0.522   0.328
   0.062       9      281.1     4053.4   0.510   0.121   0.541   0.324
   0.065      10      277.2     4053.4   0.505   0.120   0.542   0.334
   0.069      11      276.0     4050.5   0.514   0.143   0.551   0.343
   0.073      12      277.6     4050.6   0.494   0.080   0.522   0.308
   0.076      13      275.4     4049.6   0.476   0.096   0.536   0.356
   0.080      14      270.6     4047.5   0.509   0.163   0.557   0.372
   0.084      15      268.7     4046.2   0.476   0.108   0.540   0.368
   0.087      16      262.2     4044.0   0.519   0.200   0.566   0.394
   0.091      17      259.8     4042.1   0.514   0.167   0.559   0.369
   0.094      18      256.9     4043.9   0.470   0.078   0.530   0.348
   0.098      19      257.3     4042.1   0.534   0.176   0.562   0.342
   0.102      20      257.8     4040.8   0.507   0.132   0.547   0.344
   0.105      21      257.9     4041.5   0.491   0.089   0.530   0.325
   0.109      22      257.8     4040.5   0.503   0.134   0.548   0.352
   0.112      23      258.0     4040.2   0.488   0.099   0.536   0.341
   0.116      24      258.6     4042.3   0.505   0.091   0.518   0.289
   0.120      25      260.0     4042.6   0.500   0.092   0.526   0.309
   0.123      26      261.2     4042.1   0.512   0.123   0.541   0.322
   0.127      27      261.5     4041.3   0.530   0.168   0.559   0.341
   0.130      28      262.2     4041.4   0.524   0.138   0.545   0.315
   0.134      29      262.4     4041.5   0.501   0.112   0.539   0.331
   0.137      30      263.3     4040.9   0.514   0.133   0.546   0.331
   0.141      31      263.6     4041.1   0.499   0.103   0.535   0.327
   0.144      32      262.8     4041.5   0.519   0.146   0.551   0.337
   0.148      33      261.1     4042.1   0.440   0.075   0.530   0.385
   0.152      34      261.1     4041.8   0.533   0.171   0.560   0.339
   0.155      35      261.6     4040.4   0.549   0.209   0.574   0.352
   0.159      36      261.7     4040.6   0.477   0.085   0.532   0.345
   0.162      37      262.1     4040.7   0.538   0.167   0.556   0.318
   0.166      38      262.4     4041.0   0.499   0.102   0.534   0.324
   0.169      39      262.3     4039.7   0.569   0.251   0.588   0.364
   0.173      40      261.1     4039.5   0.586   0.272   0.597   0.351
   0.177      41      260.4     4039.7   0.507   0.136   0.549   0.349
   0.180      42      261.4     4038.9   0.533   0.171   0.560   0.338
   0.184      43      261.6     4038.5   0.539   0.182   0.564   0.340
   0.187      44      262.3     4038.8   0.511   0.111   0.533   0.307
   0.191      45      263.5     4038.3   0.556   0.199   0.568   0.316
   0.194      46      264.4     4037.4   0.570   0.232   0.582   0.332
   0.198      47      263.7     4036.9   0.508   0.166   0.558   0.378
   0.202      48      263.8     4037.2   0.516   0.132   0.545   0.325
   0.205      49      264.3     4037.7   0.518   0.120   0.535   0.302
   0.209      50      263.9     4037.7   0.541   0.191   0.568   0.346
   0.212      51      264.3     4037.3   0.549   0.195   0.569   0.334
   0.216      52      264.2     4037.5   0.538   0.175   0.561   0.332
   0.220      53      264.6     4037.5   0.543   0.176   0.560   0.320
   0.223      54      265.2     4038.3   0.494   0.067   0.505   0.283
   0.227      55      265.4     4037.7   0.598   0.289   0.604   0.341
   0.230      56      265.5     4037.0   0.556   0.227   0.580   0.361
   0.234      57      265.9     4036.4   0.525   0.167   0.559   0.350
   0.237      58      266.2     4036.7   0.546   0.177   0.558   0.308
   0.241      59      267.1     4036.3   0.574   0.234   0.582   0.318
   0.244      60      266.8     4036.0   0.528   0.182   0.564   0.361
   0.248      61      267.0     4036.3   0.543   0.174   0.558   0.316
   0.252      62      267.1     4036.9   0.505   0.101   0.530   0.310
   0.255      63      267.7     4037.0   0.510   0.111   0.534   0.310
   0.259      64      268.1     4037.2   0.529   0.145   0.545   0.308
   0.263      65      268.2     4037.1   0.507   0.136   0.549   0.349
   0.267      66      268.2     4036.3   0.599   0.304   0.608   0.363
   0.284      67      268.8     4036.0   0.581   0.248   0.588   0.320
   0.300      68      268.7     4035.1   0.543   0.232   0.577   0.389
   0.318      69      269.2     4034.1   0.622   0.350   0.620   0.335
   0.335      70      269.8     4033.4   0.580   0.332   0.566   0.225
   0.352      71      270.3     4032.9   0.590   0.271   0.597   0.336
   0.367      72      270.0     4032.1   0.604   0.323   0.613   0.378
   0.384      73      270.4     4032.3   0.550   0.184   0.558   0.300
   0.402      74      270.6     4032.0   0.613   0.334   0.611   0.311
   0.418      75      271.7     4031.2   0.600   0.322   0.596   0.278
   0.435      76      271.5     4030.8   0.610   0.317   0.614   0.353
   0.452      77      272.1     4030.3   0.601   0.291   0.605   0.334
   0.469      78      272.5     4030.0   0.560   0.213   0.575   0.330
   0.487      79      273.3     4029.9   0.591   0.268   0.592   0.300
   0.504      80      273.9     4030.0   0.554   0.191   0.559   0.294
   0.520      81      274.9     4030.1   0.554   0.191   0.553   0.284
   0.536      82      275.7     4030.3   0.566   0.221   0.567   0.286
   0.553      83      276.5     4030.4   0.541   0.165   0.545   0.287
   0.570      84      277.2     4029.9   0.540   0.178   0.562   0.332
   0.588      85      278.0     4030.5   0.497   0.037   0.478   0.287
   0.604      86      279.0     4030.9   0.579   0.235   0.575   0.301
   0.622      87      279.7     4030.7   0.525   0.140   0.546   0.315
   0.637      88      280.4     4030.4   0.544   0.176   0.560   0.317
   0.654      89      280.4     4030.2   0.567   0.232   0.583   0.341
   0.671      90      281.1     4030.4   0.506   0.092   0.509   0.274
   0.688      91      282.1     4030.4   0.519   0.120   0.522   0.277
   0.705      92      282.8     4030.5   0.533   0.148   0.540   0.291
   0.722      93      283.4     4030.4   0.514   0.119   0.537   0.311
   0.739      94      284.4     4030.1   0.589   0.291   0.589   0.268
   0.757      95      284.6     4030.4   0.509   0.105   0.530   0.304
   0.773      96      285.0     4030.3   0.500   0.102   0.534   0.321
   0.789      97      285.9     4030.3   0.525   0.131   0.528   0.280
   0.806      98      286.3     4030.2   0.517   0.131   0.544   0.321
   0.823      99      286.9     4029.7   0.549   0.194   0.568   0.333
   0.840     100      287.4     4029.6   0.522   0.137   0.545   0.317
   0.858     101      288.2     4030.4   0.557   0.165   0.534   0.327
   0.875     102      288.5     4030.2   0.584   0.257   0.592   0.328
   0.893     103      289.3     4030.1   0.515   0.111   0.517   0.276
   0.908     104      289.6     4030.5   0.492   0.062   0.494   0.270
   0.924     105      290.0     4030.9   0.496   0.071   0.499   0.272
   0.941     106      290.8     4031.2   0.522   0.098   0.508   0.292
   0.958     107      291.9     4031.2   0.541   0.139   0.528   0.300
   0.976     108      292.7     4031.1   0.518   0.119   0.518   0.272
   0.992     109      294.1     4031.6   0.563   0.178   0.531   0.352
   1.009     110      295.5     4031.7   0.581   0.229   0.571   0.323
   1.026     111      296.1     4031.9   0.497   0.068   0.495   0.271
   1.043     112      297.6     4032.2   0.576   0.216   0.553   0.352
   1.060     113      298.8     4032.1   0.512   0.076   0.497   0.289
   1.076     114      299.5     4032.7   0.532   0.109   0.510   0.307
   1.093     115      300.6     4033.8   0.549   0.146   0.477   0.400
   1.111     116      301.0     4034.5   0.521   0.079   0.494   0.306
   1.128     117      301.8     4034.9   0.541   0.124   0.513   0.321
   1.144     118      302.8     4035.2   0.549   0.141   0.520   0.328
   1.162     119      303.5     4035.9   0.541   0.110   0.488   0.353
   1.178     120      304.2     4036.4   0.533   0.105   0.505   0.314
   1.194     121      305.2     4037.2   0.594   0.267   0.579   0.361
   1.212     122      306.5     4037.9   0.612   0.318   0.603   0.374
   1.229     123      307.8     4038.5   0.598   0.280   0.583   0.368
   1.246     124      309.5     4039.4   0.623   0.360   0.617   0.395
   1.262     125      310.8     4039.8   0.566   0.195   0.523   0.382
   1.280     126      312.3     4039.9   0.615   0.344   0.618   0.323
   1.296     127      313.3     4039.9   0.574   0.216   0.565   0.314
   1.314     128      314.9     4039.9   0.590   0.341   0.599   0.274
   1.330     129      315.7     4039.0   0.581   0.257   0.592   0.339
   1.346     130      317.0     4038.4   0.579   0.287   0.579   0.249
   1.363     131      318.2     4037.7   0.518   0.278   0.514   0.108
   1.380     132      318.9     4036.6   0.602   0.368   0.589   0.289
   1.397     133      319.3     4035.6   0.524   0.403   0.409   0.057
   1.416     134      319.6     4034.3   0.530   0.426   0.416   0.096
   1.433     135      320.3     4033.4   0.540   0.345   0.493   0.110
   1.450     136      321.4     4032.6   0.596   0.279   0.600   0.325
   1.466     137      322.5     4032.4   0.605   0.296   0.604   0.306
   1.483     138      323.8     4032.6   0.553   0.362   0.578   0.224
   1.500     139      324.7     4032.7   0.596   0.273   0.594   0.310
   1.517     140      326.1     4033.4   0.569   0.417   0.594   0.301
   1.534     141      327.5     4035.0   0.519   0.253   0.456   0.497
   1.552     142      328.7     4037.0   0.571   0.321   0.537   0.477
   1.568     143      329.5     4037.2   0.563   0.178   0.535   0.342
   1.584     144      330.3     4038.1   0.580   0.250   0.546   0.403
   1.601     145      331.3     4038.8   0.584   0.267   0.552   0.410
   1.618     146      332.8     4039.9   0.601   0.374   0.585   0.463
   1.635     147      334.0     4040.8   0.539   0.214   0.459   0.472
   1.652     148      335.2     4042.1   0.602   0.338   0.583   0.432
   1.669     149      336.2     4042.7   0.559   0.181   0.501   0.401
   1.686     150      337.5     4043.5   0.606   0.342   0.591   0.424
   1.703     151      338.7     4044.3   0.594   0.297   0.569   0.413
   1.719     152      339.7     4044.8   0.575   0.221   0.539   0.384
   1.736     153      340.2     4045.1   0.535   0.105   0.501   0.325
   1.753     154      341.6     4045.5   0.584   0.261   0.553   0.403
   1.770     155      342.5     4045.8   0.539   0.109   0.495   0.340
   1.787     156      343.8     4046.1   0.590   0.265   0.566   0.386
   1.804     157      345.1     4046.8   0.585   0.417   0.602   0.324
   1.821     158      346.1     4047.1   0.600   0.288   0.586   0.373
   1.838     159      347.9     4047.3   0.627   0.395   0.622   0.424
   1.855     160      349.0     4047.2   0.610   0.304   0.609   0.324
   1.872     161      350.4     4047.3   0.604   0.385   0.613   0.328
   1.888     162      351.6     4047.3   0.615   0.318   0.611   0.349
   1.905     163      353.0     4047.3   0.632   0.378   0.633   0.373
   1.922     164      354.2     4047.3   0.619   0.365   0.622   0.341
   1.939     165      355.6     4047.1   0.552   0.358   0.577   0.219
   1.956     166      356.5     4047.3   0.578   0.221   0.554   0.357
   1.973     167      357.9     4047.0   0.573   0.362   0.590   0.257
   1.990     168      359.1     4046.9   0.622   0.332   0.620   0.343
   2.006     169      360.3     4046.9   0.615   0.327   0.608   0.373
   2.023     170      361.5     4047.1   0.602   0.301   0.586   0.390
   2.040     171      362.9     4047.0   0.626   0.355   0.627   0.349
   2.060     172      364.0     4046.7   0.607   0.296   0.604   0.331
   2.075     173      365.0     4046.9   0.627   0.366   0.628   0.356
   2.092     174      366.1     4047.5   0.538   0.435   0.578   0.273
   2.111     175      367.6     4047.5   0.632   0.374   0.631   0.381
   2.128     176      368.5     4047.8   0.563   0.199   0.508   0.408
   2.144     177      369.2     4047.7   0.570   0.307   0.576   0.224
   2.161     178      370.0     4047.6   0.617   0.320   0.616   0.327
   2.178     179      371.3     4047.8   0.493   0.419   0.557   0.191
   2.195     180      371.9     4047.7   0.591   0.306   0.593   0.267
   2.212     181      372.9     4047.9   0.595   0.376   0.606   0.305
   2.229     182      374.0     4047.7   0.535   0.338   0.561   0.174
   2.245     183      374.8     4047.6   0.606   0.319   0.607   0.298
   2.262     184      376.0     4047.1   0.561   0.307   0.569   0.207
   2.279     185      376.8     4047.3   0.568   0.355   0.586   0.243
   2.296     186      377.7     4047.4   0.578   0.347   0.591   0.255
   2.314     187      378.8     4047.3   0.553   0.344   0.574   0.209
   2.330     188      379.7     4047.1   0.550   0.320   0.565   0.189
   2.347     189      380.6     4047.4   0.531   0.368   0.567   0.192
   2.364     190      381.8     4047.3   0.603   0.366   0.611   0.312
   2.380     191      382.8     4047.4   0.607   0.357   0.612   0.313
   2.398     192      383.9     4047.2   0.563   0.336   0.578   0.221
   2.415     193      384.8     4047.3   0.603   0.341   0.608   0.298
   2.432     194      386.1     4047.5   0.586   0.421   0.603   0.331
   2.448     195      387.4     4047.5   0.614   0.373   0.619   0.337
   2.465     196      388.4     4047.6   0.608   0.307   0.599   0.369
   2.482     197      389.4     4047.1   0.588   0.257   0.586   0.301
   2.499     198      390.4     4046.9   0.585   0.240   0.575   0.330
   2.515     199      391.2     4046.9   0.564   0.183   0.542   0.333
   2.532     200      392.1     4046.9   0.619   0.330   0.616   0.355
   2.549     201      392.9     4046.9   0.588   0.247   0.580   0.323
   2.566     202      393.9     4047.0   0.564   0.194   0.516   0.392
   2.583     203      395.1     4046.9   0.596   0.277   0.578   0.376
   2.600     204      396.1     4047.0   0.609   0.304   0.603   0.351
   2.617     205      397.1     4047.2   0.558   0.197   0.494   0.423
   2.635     206      398.2     4047.2   0.584   0.251   0.554   0.391
   2.650     207      399.0     4046.9   0.551   0.160   0.537   0.307
   2.667     208      400.2     4046.7   0.572   0.215   0.532   0.390
   2.684     209      401.4     4046.6   0.558   0.190   0.496   0.415
   2.701     210      402.5     4046.3   0.583   0.236   0.560   0.364
   2.720     211      403.8     4046.2   0.580   0.259   0.544   0.414
   2.738     212      404.8     4046.1   0.565   0.192   0.521   0.384
   2.755     213      405.9     4045.8   0.544   0.124   0.476   0.382
   2.772     214      407.2     4045.4   0.589   0.259   0.567   0.377
   2.790     215      408.4     4045.5   0.543   0.235   0.473   0.475
   2.806     216      409.5     4045.5   0.540   0.149   0.446   0.437
   2.823     217      410.3     4045.6   0.565   0.190   0.523   0.379
   2.840     218      411.5     4045.7   0.571   0.274   0.526   0.452
   2.857     219      412.7     4046.1   0.602   0.405   0.613   0.342
   2.874     220      413.8     4046.7   0.633   0.395   0.631   0.408
   2.891     221      415.1     4046.5   0.637   0.398   0.637   0.398
   2.908     222      416.2     4046.5   0.626   0.352   0.624   0.369
   2.924     223      417.4     4046.7   0.615   0.408   0.622   0.368
   2.941     224      418.9     4046.8   0.613   0.413   0.605   0.471
   2.958     225      419.6     4047.7   0.565   0.395   0.590   0.272
   2.975     226      419.5     4048.9   0.424   0.370   0.519   0.034
   2.992     227      420.7     4049.0   0.566   0.295   0.523   0.473
   3.009     228      421.9     4048.9   0.586   0.308   0.556   0.443
   3.026     229      422.9     4049.1   0.569   0.240   0.519   0.430
   3.043     230      423.6     4049.3   0.580   0.240   0.546   0.393
   3.059     231      424.7     4049.2   0.544   0.159   0.457   0.433
   3.076     232      426.3     4049.3   0.592   0.410   0.582   0.498
   3.093     233      427.0     4049.3   0.526   0.086   0.406   0.428
   3.110     234      428.7     4049.4   0.565   0.416   0.561   0.522
   3.127     235      430.2     4049.4   0.592   0.383   0.576   0.484
   3.144     236      431.3     4049.5   0.561   0.257   0.507   0.460
   3.162     237      432.5     4049.8   0.547   0.234   0.479   0.469
   3.180     238      433.7     4049.8   0.591   0.332   0.567   0.451
   3.196     239      435.2     4050.5   0.627   0.513   0.627   0.501
   3.213     240      436.4     4050.9   0.621   0.448   0.625   0.414
   3.230     241      437.8     4051.6   0.575   0.462   0.580   0.535
   3.247     242      439.1     4051.9   0.584   0.472   0.599   0.382
   3.264     243      440.4     4052.4   0.619   0.462   0.616   0.496
   3.281     244      441.7     4053.0   0.579   0.509   0.586   0.420
   3.298     245      443.0     4053.6   0.635   0.494   0.635   0.492
   3.314     246      444.3     4054.1   0.638   0.460   0.639   0.459
   3.331     247      445.6     4054.5   0.612   0.392   0.602   0.456
   3.348     248      446.8     4055.0   0.569   0.450   0.593   0.335
   3.365     249      447.8     4055.5   0.519   0.486   0.559   0.309
   3.382     250      449.2     4056.6   0.629   0.507   0.629   0.515
   3.399     251      450.1     4056.6   0.631   0.368   0.631   0.365
   3.416     252      451.3     4056.8   0.579   0.415   0.599   0.315
   3.433     253      452.2     4056.7   0.581   0.351   0.594   0.263
   3.449     254      453.4     4056.7   0.603   0.408   0.613   0.346
   3.466     255      454.4     4056.9   0.383   0.456   0.518   0.099
   3.483     256      455.4     4056.9   0.463   0.392   0.541   0.117
   3.500     257      456.4     4057.0   0.541   0.399   0.578   0.239
   3.517     258      457.3     4057.1   0.481   0.387   0.548   0.137
   3.534     259      458.3     4057.3   0.359   0.442   0.512   0.048
   3.551     260      459.3     4057.2   0.481   0.374   0.545   0.123
   3.568     261      460.1     4057.0   0.487   0.342   0.536   0.098
   3.584     262      461.1     4056.9   0.434   0.377   0.525   0.058
   3.601     263      462.0     4056.6   0.423   0.357   0.513   0.017
   3.618     264      463.0     4056.5   0.437   0.381   0.528   0.067
   3.635     265      464.0     4056.7   0.430   0.458   0.532   0.157
   3.652     266      465.3     4056.7   0.521   0.437   0.570   0.250
   3.669     267      466.5     4056.7   0.631   0.408   0.633   0.394
   3.686     268      467.4     4056.5   0.533   0.343   0.561   0.174
   3.703     269      468.5     4056.6   0.416   0.443   0.530   0.120
   3.720     270      469.7     4056.6   0.632   0.410   0.634   0.398
   3.736     271      470.8     4056.9   0.434   0.443   0.535   0.141
   3.753     272      471.7     4056.8   0.454   0.386   0.536   0.097
   3.770     273      472.7     4056.8   0.348   0.437   0.509   0.027
   3.787     274      473.7     4056.8   0.367   0.421   0.513   0.027
   3.804     275      474.9     4056.9   0.519   0.449   0.568   0.262
   3.821     276      476.0     4056.9   0.475   0.421   0.550   0.168
   3.838     277      477.0     4056.9   0.465   0.418   0.546   0.150
   3.854     278      478.3     4057.7   0.571   0.532   0.567   0.446
   3.871     279      479.9     4058.6   0.617   0.551   0.619   0.555
   3.888     280      481.2     4059.5   0.621   0.544   0.620   0.537
   3.905     281      482.2     4059.9   0.514   0.545   0.504   0.330
   3.922     282      483.4     4060.9   0.612   0.608   0.550   0.532
   3.939     283      484.5     4061.6   0.547   0.520   0.555   0.395
   3.956     284      485.8     4062.2   0.570   0.544   0.556   0.468
   3.973     285      487.1     4063.8   0.268   0.494   0.532   0.475
