Standard EKF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[EKF] init  x=63.0  y=4257.5
   2.140     181      314.9     4088.4
   2.157     182      317.5     4088.8
   2.174     183      319.3     4088.1
   2.191     184      319.8     4088.6
   2.208     185      321.8     4088.8
   2.225     186      323.7     4088.4
   2.242     187      326.4     4087.5
   2.260     188      328.2     4086.9
   2.276     189      330.0     4086.5
   2.293     190      331.6     4086.4
   2.310     191      333.4     4086.4
   2.327     192      335.9     4085.9
   2.344     193      338.2     4085.8
   2.361     194      340.9     4085.9
   2.378     195      342.9     4086.2
   2.396     196      344.3     4085.4
   2.412     197      346.5     4084.9
   2.429     198      349.4     4084.7
   2.446     199      351.7     4085.1
   2.463     200      354.9     4084.5
   2.482     201      357.5     4083.9
   2.498     202      359.3     4083.5
   2.515     203      361.6     4082.7
   2.532     204      363.8     4081.9
   2.548     205      366.9     4081.3
   2.565     206      369.4     4081.0
   2.582     207      371.0     4080.7
   2.601     208      373.4     4081.2
   2.617     209      376.4     4081.3
   2.634     210      379.5     4080.2
   2.651     211      382.0     4079.7
   2.667     212      384.1     4080.5
   2.684     213      387.5     4080.8
   2.701     214      390.1     4080.4
   2.718     215      392.7     4080.1
   2.737     216      394.8     4080.6
   2.755     217      397.4     4080.3
   2.772     218      400.4     4080.5
   2.789     219      402.7     4081.5
   2.806     220      405.4     4082.3
   2.822     221      408.6     4082.7
   2.839     222      411.5     4083.5
   2.855     223      413.6     4084.2
   2.872     224      416.2     4084.5
   2.889     225      419.1     4085.6
   2.906     226      422.9     4086.1
   2.923     227      425.8     4087.1
   2.940     228      428.0     4087.9
   2.956     229      431.2     4087.5
   2.973     230      434.0     4087.5
   2.990     231      437.0     4087.8
   3.007     232      440.1     4088.5
   3.024     233      442.4     4090.5
   3.041     234      445.1     4091.9
   3.059     235      447.2     4093.0
   3.077     236      449.0     4092.6
   3.093     237      451.3     4093.5
   3.110     238      453.6     4094.2
   3.127     239      456.3     4094.5
   3.144     240      457.7     4095.7
   3.161     241      459.6     4096.0
   3.178     242      461.0     4096.3
   3.195     243      462.1     4097.6
   3.213     244      462.9     4097.4
   3.231     245      464.9     4097.2
   3.247     246      466.6     4096.3
   3.264     247      468.5     4095.9
   3.281     248      470.7     4095.6
   3.299     249      472.4     4093.5
   3.316     250      474.4     4092.6
   3.332     251      476.4     4091.8
   3.349     252      478.3     4091.2
   3.366     253      479.6     4090.1
   3.383     254      481.1     4090.3
   3.400     255      481.9     4090.0
   3.417     256      483.1     4088.8
   3.436     257      484.4     4088.2
   3.451     258      486.6     4087.8
   3.469     259      488.3     4086.7
   3.487     260      489.5     4085.4
   3.503     261      492.1     4086.2
   3.520     262      494.0     4085.7
   3.537     263      495.8     4085.5
   3.555     264      497.4     4084.9
   3.572     265      499.7     4084.1
   3.588     266      502.0     4083.2
   3.605     267      505.1     4085.8
   3.622     268      507.7     4088.0
   3.639     269      510.2     4089.9
   3.656     270      512.3     4091.6
   3.672     271      514.3     4092.3
   3.689     272      515.4     4093.2
   3.706     273      517.3     4094.6
   3.722     274      520.3     4096.4
   3.739     275      522.2     4097.5
   3.756     276      525.9     4103.5
   3.773     277      528.7     4105.3
   3.790     278      531.5     4107.3
   3.807     279      534.5     4109.7
   3.824     280      538.3     4116.0
   3.841     281      541.2     4118.7
   3.857     282      544.4     4121.7
   3.874     283      547.7     4126.9
   3.892     284      549.8     4125.9
   3.908     285      552.6     4126.4
   3.926     286      555.6     4130.6
   3.944     287      559.6     4138.7
   3.960     288      561.5     4138.1
   3.977     289      563.7     4137.8
   3.995     290      566.3     4137.4
   4.011     291      568.8     4137.4
   4.028     292      570.7     4136.9
   4.045     293      573.4     4135.7
   4.062     294      575.2     4134.3
   4.079     295      577.6     4132.5
   4.096     296      580.6     4130.5
   4.113     297      582.9     4127.4
   4.133     298      585.1     4124.2
   4.149     299      587.4     4127.0
   4.166     300      590.9     4129.2
   4.183     301      593.0     4129.8
   4.200     302      595.8     4131.3
   4.217     303      600.0     4137.0
   4.233     304      603.4     4139.6
   4.250     305      606.7     4142.5
   4.267     306      610.7     4148.0
   4.284     307      614.1     4151.8
   4.301     308      619.0     4157.5
   4.318     309      623.7     4160.1
   4.335     310      627.3     4162.0
   4.352     311      630.9     4163.2
   4.369     312      634.0     4163.5
   4.385     313      637.8     4164.1
   4.404     314      641.2     4163.9
   4.422     315      645.5     4164.0
   4.438     316      649.0     4163.1
   4.455     317      652.0     4162.2
   4.472     318      655.0     4161.5
   4.490     319      658.1     4160.7
   4.508     320      662.2     4159.4
   4.524     321      665.2     4158.5
   4.543     322      667.8     4158.1
   4.558     323      671.8     4157.3
   4.576     324      675.2     4156.7
   4.593     325      678.6     4155.6
   4.611     326      681.4     4154.6
   4.627     327      684.8     4153.9
   4.644     328      688.5     4153.8
   4.662     329      692.1     4153.0
   4.678     330      695.3     4152.1
   4.695     331      697.6     4151.6
   4.712     332      701.0     4151.1
   4.729     333      704.2     4151.7
   4.745     334      706.3     4151.1
   4.762     335      708.8     4151.7
   4.779     336      711.9     4152.2
   4.796     337      714.9     4152.8
   4.813     338      717.7     4152.7
   4.831     339      721.0     4152.7
   4.848     340      723.9     4153.2
   4.866     341      726.4     4153.9
   4.882     342      729.8     4155.7
   4.899     343      732.9     4157.4
   4.916     344      735.3     4156.9
   4.933     345      738.0     4156.5
   4.951     346      740.9     4155.9
   4.968     347      743.8     4154.7
   4.985     348      745.0     4153.3
   5.001     349      748.4     4151.7
   5.020     350      751.0     4149.9
   5.039     351      753.2     4148.2
   5.056     352      755.0     4146.3
   5.073     353      757.7     4145.7
   5.091     354      760.3     4145.4
   5.107     355      763.3     4145.4
   5.124     356      766.4     4145.7
   5.141     357      768.9     4145.1
   5.158     358      771.6     4145.7
   5.175     359      773.4     4146.4
   5.192     360      776.2     4146.5
   5.209     361      778.9     4147.6
   5.226     362      781.3     4148.4
   5.242     363      783.8     4148.5
   5.259     364      786.3     4148.8
   5.276     365      790.5     4149.6
   5.293     366      793.6     4149.9
   5.310     367      796.2     4149.6
   5.327     368      799.3     4149.9
   5.344     369      802.7     4151.2
   5.362     370      805.5     4151.6
   5.380     371      808.8     4152.8
   5.395     372      811.8     4152.4
   5.413     373      815.2     4152.7
   5.430     374      817.7     4154.1
