LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
   0.001       1       88.9     4214.9
   0.004       2       86.2     4239.7
   0.007       3       42.7     4284.6
   0.010       4       95.7     4294.7
   0.012       5      106.1     4298.7
   0.015       6       50.3     4221.1
   0.018       7      124.2     4243.1
   0.021       8      104.9     4266.1
   0.023       9       80.5     4206.1
   0.026      10       65.9     4225.6
   0.029      11       81.8     4170.1
   0.031      12      109.1     4213.2
   0.034      13      110.0     4282.9
   0.037      14       74.9     4263.9
   0.040      15       76.4     4231.5
   0.042      16       91.4     4241.8
   0.045      17      104.7     4218.8
   0.048      18      122.0     4213.0
   0.050      19       68.7     4268.7
   0.053      20       87.3     4267.3
   0.056      21      122.4     4237.7
   0.058      22       87.6     4233.6
   0.061      23      112.6     4221.5
   0.064      24      104.2     4224.9
   0.066      25      108.2     4244.8
   0.069      26      110.3     4258.8
   0.072      27      108.0     4247.7
   0.074      28       60.1     4216.2
   0.077      29       82.6     4236.7
   0.080      30       71.0     4197.9
   0.082      31       98.5     4244.6
   0.085      32       81.9     4195.1
   0.087      33       54.1     4174.2
   0.090      34      125.5     4224.2
   0.093      35      135.4     4216.3
   0.095      36      105.6     4200.7
   0.098      37      141.0     4228.6
   0.101      38      104.8     4280.9
   0.103      39       76.0     4198.3
   0.106      40       75.3     4217.2
   0.109      41       94.8     4274.2
   0.111      42       92.4     4257.8
   0.114      43       71.5     4259.4
   0.117      44      134.1     4212.7
   0.119      45       89.8     4264.0
   0.122      46       90.2     4209.3
   0.125      47      124.5     4268.2
   0.127      48      131.2     4208.8
   0.130      49       92.1     4233.0
   0.133      50       88.9     4245.1
   0.135      51       64.8     4247.0
   0.138      52       89.5     4252.5
   0.140      53       50.7     4273.9
   0.143      54      101.3     4240.4
   0.146      55      133.7     4259.1
   0.148      56      129.8     4239.4
   0.151      57       86.7     4273.2
   0.154      58       98.9     4251.8
   0.156      59       58.6     4222.3
   0.159      60       96.2     4285.8
   0.162      61      154.5     4262.9
   0.164      62       65.5     4238.1
   0.167      63       87.7     4212.6
   0.170      64       75.6     4220.8
   0.179      65      138.6     4293.2
   0.196      66      110.9     4222.4
   0.214      67      116.1     4232.4
   0.231      68       76.0     4249.1
   0.247      69       52.7     4221.2
   0.264      70       90.1     4320.0
   0.281      71       95.5     4226.1
   0.298      72      140.3     4261.6
   0.317      73      140.2     4244.8
   0.334      74      103.5     4178.5
   0.352      75       80.6     4172.0
   0.368      76       61.2     4248.1
   0.386      77       74.9     4279.9
   0.401      78      128.7     4254.0
   0.418      79      105.3     4156.0
   0.435      80      138.5     4187.0
   0.453      81      139.6     4237.8
   0.469      82      143.4     4200.4
   0.486      83      148.3     4297.9
   0.502      84      119.5     4293.9
   0.519      85      130.5     4231.9
   0.536      86      151.2     4272.9
   0.553      87      119.3     4191.4
   0.570      88      158.9     4283.2
   0.587      89      150.1     4261.6
   0.604      90      161.1     4289.3
   0.624      91      168.1     4305.4
   0.640      92      174.0     4241.4
   0.657      93      171.5     4261.0
   0.674      94      189.7     4279.2
   0.691      95      152.8     4233.0
   0.708      96      204.6     4239.5
   0.726      97      190.0     4276.2
   0.742      98      169.2     4314.8
   0.759      99      185.6     4250.7
   0.776     100      162.4     4281.5
   0.793     101      107.4     4198.3
   0.810     102      199.7     4228.8
   0.828     103      191.9     4244.9
   0.847     104      182.5     4232.5
   0.863     105      155.7     4365.2
   0.879     106      169.2     4353.0
   0.895     107      213.2     4266.2
   0.914     108      205.6     4269.6
   0.930     109      208.7     4264.0
   0.947     110      212.2     4284.7
