KF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=99.5  y=861.9
   0.002       1       61.3      974.1
   0.005       2       79.2     1103.3
   0.007       3       80.7     1148.9
   0.010       4       70.4     1171.6
   0.013       5       69.2     1185.9
   0.016       6       75.3     1157.3
   0.019       7       79.1     1159.0
   0.022       8       72.7     1162.9
   0.024       9       67.8     1167.2
   0.027      10       76.1     1100.9
   0.030      11       78.2     1112.4
   0.033      12       80.0     1103.1
   0.036      13       81.8     1093.7
   0.038      14       81.5     1105.8
   0.041      15       81.4     1111.9
   0.044      16       79.7     1113.8
   0.047      17       78.5     1122.8
   0.049      18       78.6     1117.1
   0.052      19       77.9     1123.1
   0.055      20       74.6     1127.8
   0.058      21       76.4     1132.6
   0.060      22       76.3     1136.3
   0.063      23       76.1     1139.8
   0.066      24       75.7     1142.8
   0.069      25       75.6     1147.9
   0.071      26       76.0     1151.4
   0.074      27       75.3     1154.0
   0.077      28       74.8     1156.5
   0.080      29       75.6     1159.9
   0.082      30       74.9     1163.4
   0.085      31       74.7     1165.8
   0.088      32       73.6     1168.0
   0.091      33       74.8     1164.6
   0.093      34       75.7     1166.1
   0.096      35       76.5     1159.7
   0.099      36       75.9     1162.4
   0.102      37       76.1     1156.4
   0.104      38       75.4     1158.2
   0.107      39       75.4     1160.4
   0.110      40       76.3     1163.0
   0.112      41       76.9     1164.5
   0.115      42       77.5     1166.5
   0.118      43       78.0     1168.0
   0.121      44       79.2     1169.6
   0.123      45       79.1     1170.5
   0.126      46       78.9     1173.7
   0.129      47       78.7     1175.9
   0.131      48       79.1     1170.4
   0.134      49       78.8     1171.0
   0.137      50       78.5     1173.3
   0.140      51       78.7     1174.7
   0.142      52       78.0     1176.3
   0.145      53       77.8     1177.9
   0.148      54       77.8     1178.0
   0.151      55       78.1     1179.9
   0.153      56       77.8     1180.5
   0.156      57       77.8     1181.6
   0.159      58       76.8     1183.0
   0.162      59       76.7     1185.0
   0.164      60       77.1     1185.9
   0.167      61       76.3     1187.1
   0.170      62       77.1     1188.4
   0.173      63       76.7     1188.8
   0.175      64       76.9     1189.5
   0.184      65       77.0     1186.4
   0.200      66       77.4     1187.3
   0.217      67       77.6     1187.8
   0.234      68       78.7     1187.8
   0.251      69       79.2     1188.1
   0.268      70       79.4     1183.7
   0.285      71       80.0     1184.8
   0.302      72       80.9     1185.3
   0.319      73       81.3     1186.2
   0.336      74       82.5     1186.5
   0.352      75       84.0     1182.2
   0.369      76       85.4     1182.6
   0.386      77       87.0     1178.0
   0.403      78       87.4     1178.3
   0.420      79       88.3     1174.0
   0.437      80       90.0     1169.4
   0.454      81       91.5     1165.7
   0.471      82       93.4     1161.8
   0.487      83       95.4     1158.0
   0.504      84       97.5     1154.6
   0.521      85       98.9     1150.6
   0.538      86      101.3     1147.5
   0.555      87      103.3     1149.7
   0.572      88      105.6     1146.6
   0.589      89      107.4     1143.1
   0.610      90      109.3     1134.3
   0.631      91      111.3     1131.4
   0.651      92      113.2     1127.6
   0.670      93      115.1     1123.5
   0.688      94      116.9     1119.7
   0.706      95      118.1     1120.8
   0.722      96      119.8     1118.4
   0.739      97      121.8     1116.5
   0.756      98      124.0     1119.4
   0.773      99      126.8     1122.3
   0.792     100      129.2     1125.6
   0.812     101      131.4     1123.5
   0.830     102      133.2     1121.6
   0.846     103      135.7     1123.7
   0.863     104      138.3     1125.4
   0.880     105      140.1     1122.3
   0.896     106      144.0     1124.5
   0.913     107      147.3     1121.5
   0.930     108      150.8     1123.9
   0.947     109      154.0     1126.2
   0.963     110      156.6     1127.6
   0.980     111      159.7     1130.6
   0.997     112      162.8     1127.7
   1.014     113      165.4     1124.7
   1.031     114      168.0     1128.1
   1.047     115      170.8     1130.4
   1.064     116      173.9     1132.7
   1.081     117      176.5     1135.6
   1.098     118      179.9     1137.8
   1.115     119      182.1     1141.2
   1.132     120      184.8     1143.7
   1.149     121      188.1     1145.7
   1.166     122      190.9     1147.8
   1.182     123      192.9     1150.1
   1.199     124      195.4     1152.4
   1.216     125      197.9     1153.9
   1.233     126      201.0     1155.8
   1.250     127      204.3     1158.1
   1.267     128      207.6     1159.7
   1.284     129      210.1     1161.2
   1.301     130      213.2     1162.0
   1.318     131      216.5     1163.7
   1.334     132      219.5     1165.0
   1.351     133      222.9     1166.6
   1.368     134      225.7     1167.0
   1.385     135      229.4     1168.6
   1.404     136      232.7     1170.0
   1.420     137      235.9     1171.7
   1.437     138      238.4     1173.0
   1.454     139      241.2     1174.2
   1.469     140      244.9     1175.5
   1.486     141      248.3     1176.8
   1.506     142      250.6     1177.7
   1.522     143      253.7     1178.5
   1.538     144      256.6     1179.0
   1.556     145      258.7     1174.6
   1.572     146      261.5     1175.0
   1.589     147      264.3     1177.1
   1.605     148      266.1     1173.1
   1.622     149      269.0     1174.3
   1.639     150      271.5     1174.6
   1.656     151      274.7     1174.7
   1.673     152      277.0     1176.1
   1.690     153      280.2     1176.9
   1.709     154      282.9     1177.3
   1.725     155      286.0     1177.2
   1.743     156      287.6     1172.8
   1.759     157      290.3     1173.1
   1.776     158      292.6     1173.1
   1.793     159      294.9     1173.2
   1.810     160      297.7     1173.0
   1.829     161      300.7     1172.1
   1.845     162      303.7     1172.2
   1.863     163      304.0     1167.0
   1.879     164      305.2     1166.5
   1.897     165      306.5     1166.3
   1.913     166      308.0     1167.0
   1.930     167      309.4     1167.0
   1.949     168      310.4     1166.8
   1.965     169      310.8     1166.0
   1.982     170      311.4     1166.7
   1.999     171      311.0     1162.6
   2.015     172      311.5     1162.0
   2.032     173      312.8     1161.9
   2.049     174      314.0     1162.2
   2.066     175      315.4     1162.3
   2.083     176      315.9     1158.7
   2.100     177      318.5     1159.7
   2.117     178      320.9     1160.6
   2.134     179      322.3     1160.7
   2.150     180      324.0     1161.1
   2.169     181      325.9     1162.5
   2.185     182      327.6     1163.0
   2.201     183      329.4     1164.9
   2.218     184      330.2     1164.5
   2.236     185      331.4     1164.3
   2.253     186      333.1     1164.5
   2.270     187      334.4     1164.4
   2.286     188      335.4     1164.5
   2.302     189      336.2     1164.7
   2.319     190      336.7     1165.5
   2.336     191      337.5     1165.7
   2.353     192      338.5     1165.8
   2.370     193      340.1     1166.6
   2.387     194      343.0     1168.9
   2.404     195      344.5     1170.0
   2.422     196      346.1     1171.1
   2.437     197      350.6     1172.9
   2.454     198      353.2     1174.4
   2.471     199      356.3     1176.8
   2.488     200      360.2     1179.2
   2.505     201      362.8     1181.4
   2.522     202      364.5     1183.2
   2.539     203      365.7     1184.1
   2.556     204      367.2     1185.4
   2.573     205      367.1     1186.4
   2.589     206      367.9     1187.6
   2.605     207      368.3     1188.4
   2.622     208      369.6     1189.7
   2.639     209      370.5     1191.3
   2.656     210      371.1     1192.1
   2.673     211      372.3     1193.4
   2.690     212      374.4     1194.5
   2.708     213      376.6     1195.6
   2.724     214      379.0     1197.6
   2.744     215      380.4     1198.2
   2.760     216      381.5     1196.0
   2.779     217      383.9     1193.6
   2.797     218      384.3     1186.5
   2.813     219      386.1     1183.1
   2.831     220      387.4     1174.8
   2.847     221      390.5     1172.6
   2.864     222      393.7     1174.6
   2.880     223      394.3     1167.0
   2.899     224      397.5     1169.3
   2.917     225      397.8     1162.6
   2.933     226      400.2     1161.1
   2.951     227      400.9     1154.0
   2.969     228      401.6     1147.0
   2.985     229      404.6     1146.1
   3.002     230      405.5     1139.8
   3.019     231      408.7     1136.3
   3.036     232      412.8     1138.8
   3.053     233      413.8     1133.0
   3.070     234      415.3     1126.7
   3.088     235      417.4     1124.2
   3.104     236      420.0     1123.2
   3.121     237      421.6     1120.6
   3.138     238      423.9     1119.2
   3.155     239      424.4     1112.6
   3.172     240      425.6     1106.4
   3.189     241      427.0     1104.8
   3.207     242      431.2     1107.4
   3.224     243      433.3     1106.6
   3.240     244      436.1     1110.1
   3.257     245      438.3     1109.2
   3.274     246      441.2     1107.8
   3.291     247      445.4     1110.4
   3.308     248      447.6     1108.9
   3.325     249      448.1     1103.5
   3.342     250      450.0     1102.2
   3.359     251      451.3     1098.2
   3.376     252      450.9     1092.4
   3.392     253      451.6     1087.3
   3.409     254      451.7     1081.7
   3.426     255      453.7     1081.0
   3.443     256      456.3     1080.2
   3.460     257      458.0     1078.4
   3.477     258      459.3     1073.5
   3.494     259      460.9     1069.7
   3.511     260      464.1     1068.8
   3.527     261      465.4     1064.9
   3.544     262      467.2     1059.3
   3.561     263      468.7     1055.3
   3.578     264      471.6     1055.4
   3.595     265      475.4     1055.5
   3.612     266      476.6     1050.2
   3.629     267      478.1     1044.4
   3.646     268      480.4     1039.6
   3.662     269      481.8     1035.1
   3.681     270      483.4     1030.5
   3.697     271      484.5     1026.3
   3.714     272      488.6     1028.2
   3.731     273      493.8     1027.7
   3.748     274      496.2     1022.5
   3.765     275      500.4     1022.4
   3.782     276      504.4     1022.5
   3.798     277      508.6     1021.8
   3.815     278      512.8     1022.6
   3.832     279      515.9     1018.5
   3.849     280      521.3     1022.8
   3.866     281      522.6     1018.4
   3.883     282      524.3     1014.6
   3.899     283      529.6     1019.6
   3.917     284      530.9     1015.6
   3.933     285      535.0     1016.5
   3.950     286      538.6     1017.8
   3.966     287      543.6     1022.1
   3.983     288      547.6     1025.0
   4.000     289      546.9     1025.8
   4.018     290      551.6     1028.6
   4.034     291      555.5     1029.5
   4.052     292      558.5     1030.1
