LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
   0.036       1     6470.0     1191.3
   0.039       2     6568.1     1292.2
   0.042       3     6421.8     1018.0
   0.045       4     6438.3     1070.8
   0.047       5     6432.4      956.7
   0.050       6     6575.0     1102.2
   0.053       7     6372.7     1026.3
   0.056       8     6407.4     1063.3
   0.058       9     6593.3     1287.3
   0.061      10     6430.4     1032.7
   0.064      11     6468.2     1167.9
   0.066      12     6433.4     1101.8
   0.069      13     6462.9     1130.9
   0.072      14     6460.1     1057.1
   0.074      15     6435.8     1094.4
   0.077      16     6375.5     1041.0
   0.080      17     6426.8     1123.1
   0.082      18     6417.5      911.3
   0.085      19     6411.5     1051.0
   0.088      20     6407.7     1049.8
   0.090      21     6349.3      995.1
   0.093      22     6463.6     1120.7
   0.096      23     6468.2     1185.3
   0.098      24     6386.4      983.1
   0.101      25     6392.9     1057.3
   0.104      26     6437.6     1143.3
   0.106      27     7688.0     -653.1
   0.109      28     6437.3     1038.7
   0.111      29     6445.2     1120.9
   0.114      30     6472.9     1096.2
   0.117      31     6354.6     1035.6
   0.119      32     6446.3      974.0
   0.122      33     6413.0     1006.2
   0.125      34     6394.8     1022.3
   0.127      35     6422.7     1087.4
   0.130      36     6540.6     1178.9
   0.132      37     6432.3      897.2
   0.135      38     6373.5     1028.9
   0.138      39     6357.8      986.6
   0.140      40     6437.3     1072.1
   0.143      41     6514.2     1113.2
   0.146      42     6347.7      951.7
   0.148      43     6417.7      993.8
   0.151      44     6367.7      996.4
   0.153      45     6449.9      986.7
   0.156      46     6546.5     1165.7
   0.159      47     6356.7     1047.7
   0.161      48     6526.9     1201.6
   0.164      49     6543.8     1200.0
   0.167      50     6538.8     1285.1
   0.169      51     6373.4      980.2
   0.172      52     6458.2     1137.2
   0.175      53     6401.3      934.7
   0.177      54     6353.4      995.0
   0.180      55     6355.9      981.0
   0.182      56     6444.7      920.2
   0.185      57     6433.6     1159.3
   0.188      58     6380.3     1123.1
   0.190      59     6437.1     1040.4
   0.193      60     6411.5     1089.1
   0.196      61     6397.1      969.7
   0.198      62     6417.9     1057.7
   0.201      63     6529.1     1163.5
   0.204      64     6459.0     1134.6
   0.210      65     6468.6      953.3
   0.227      66     6421.6      941.4
   0.244      67     6319.6      893.9
   0.261      68     6373.0      880.9
   0.278      69     6347.4      903.2
   0.295      70     6349.2      895.5
   0.311      71     6396.9      918.8
   0.328      72     6309.5      845.8
   0.345      73     6325.4      908.5
   0.362      74     6373.8      840.2
   0.379      75     6398.6      810.1
   0.397      76     6286.6      854.4
   0.414      77     6391.4      832.2
   0.430      78     6306.9      905.6
   0.448      79     6340.9      994.9
   0.466      80     6380.8      900.5
   0.482      81     6343.6      922.8
   0.499      82     6279.8      845.2
   0.516      83     6257.5      811.1
   0.534      84     6224.7      914.1
   0.550      85     6312.2      878.2
   0.566      86     6339.9      953.2
   0.583      87     6304.2      928.0
   0.600      88     6274.5      858.1
   0.617      89     6292.0      892.6
   0.634      90     6261.4      861.9
   0.657      91     6261.4      861.9
   0.673      92     6279.3      905.0
   0.692      93     6323.8      937.4
   0.713      94     6317.6      945.8
   0.730      95     6241.4      896.3
   0.747      96     6247.8      897.1
   0.763      97     6340.6      760.8
   0.782      98     6236.3      882.8
   0.798      99     6238.5      888.9
   0.815     100     6329.0      876.1
   0.832     101     6269.7      898.9
   0.849     102     6211.3      912.4
   0.866     103     6263.8      922.1
   0.882     104     6251.0      881.5
   0.899     105     6276.0      918.5
   0.916     106     6206.2      959.5
   0.933     107     6259.1      871.4
   0.950     108     6295.6      930.4
   0.967     109     6283.9      895.3
   0.984     110     6268.9      928.3
   1.002     111     6236.0      945.4
   1.018     112     6222.2      903.1
   1.035     113     6250.5      917.9
   1.054     114     6249.2      888.9
   1.070     115     6191.6      900.3
   1.088     116     6262.8      998.1
   1.105     117     6196.7      892.9
   1.122     118     6248.3      935.5
   1.139     119     6273.2      896.8
   1.155     120     6257.4      939.9
   1.172     121     6207.0      950.2
   1.189     122     6199.5      946.8
   1.206     123     6227.8      957.5
   1.223     124     6190.4      928.0
   1.240     125     6173.0     1056.3
   1.257     126     6241.8      944.2
   1.274     127     6200.4      932.2
   1.290     128     6221.3     1019.7
   1.307     129     6229.4     1031.1
   1.326     130     6236.2     1030.2
   1.342     131     6214.0      990.7
   1.359     132     6248.4     1019.9
   1.376     133     6253.4     1066.3
   1.393     134     6216.0     1176.0
   1.410     135     6206.9     1074.1
   1.426     136     6259.2     1076.5
   1.443     137     6201.9     1046.7
   1.460     138     6276.0     1180.4
   1.477     139     6210.5     1144.7
   1.496     140     6279.3     1222.7
   1.512     141     6292.8     1231.7
