Standard EKF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[EKF] init  x=96.2  y=863.6
   0.002       1       18.4      918.2
   0.005       2       30.4      894.5
   0.008       3       39.5      840.9
   0.010       4       36.1      854.4
   0.013       5       39.9      884.2
   0.016       6       44.2      861.8
   0.019       7       48.9      837.1
   0.022       8       51.6      842.2
   0.025       9       46.0      850.5
   0.028      10       44.4      855.3
   0.030      11       43.9      847.5
   0.033      12       44.8      852.4
   0.036      13       41.7      857.0
   0.039      14       42.9      860.8
   0.042      15       42.2      851.7
   0.045      16       43.8      847.3
   0.047      17       44.9      850.7
   0.050      18       47.3      850.3
   0.053      19       46.9      855.2
   0.056      20       48.8      858.6
   0.059      21       52.2      855.3
   0.061      22       52.9      866.2
   0.064      23       53.5      865.3
   0.067      24       55.4      861.3
   0.070      25       59.1      864.9
   0.074      26       59.9      860.2
   0.077      27       59.4      855.6
   0.080      28       61.5      852.7
   0.083      29       63.7      850.5
   0.086      30       66.7      849.8
   0.089      31       67.6      845.7
   0.092      32       67.8      848.3
   0.095      33       69.2      851.5
   0.098      34       68.5      849.7
   0.100      35       70.6      848.6
   0.103      36       71.6      844.7
   0.106      37       71.7      841.5
   0.109      38       71.9      844.6
   0.112      39       71.0      847.7
   0.114      40       70.6      849.6
   0.117      41       70.7      851.6
   0.120      42       71.8      849.1
   0.123      43       74.5      847.5
   0.126      44       76.8      850.3
   0.129      45       78.1      852.4
   0.132      46       80.2      849.3
   0.135      47       81.9      847.0
   0.137      48       83.8      850.0
   0.140      49       86.4      849.3
   0.143      50       87.5      847.4
   0.146      51       89.7      847.1
   0.149      52       91.7      849.8
   0.151      53       93.9      853.4
   0.154      54       95.5      852.7
   0.157      55       97.8      851.8
   0.160      56       98.7      857.8
   0.163      57       99.4      857.1
   0.166      58      100.1      857.4
   0.169      59      100.8      859.9
   0.172      60      101.8      864.3
   0.175      61      101.6      866.2
   0.178      62      101.9      871.6
   0.180      63       95.8      869.3
   0.183      64       95.7      869.0
   0.188      65       89.9      868.1
   0.207      66       84.5      868.2
   0.223      67       80.1      867.5
   0.240      68       76.4      866.3
   0.258      69       72.4      864.8
   0.274      70       74.5      867.7
   0.291      71       77.3      871.2
   0.308      72       79.4      874.5
   0.327      73       81.7      878.0
   0.343      74       82.9      876.5
   0.360      75       83.9      874.5
   0.378      76       85.1      873.0
   0.394      77       85.1      871.0
   0.413      78       85.3      872.3
   0.430      79       85.6      870.6
   0.446      80       87.4      869.8
   0.463      81       88.8      869.1
   0.482      82       90.4      867.4
   0.498      83       91.5      866.8
   0.515      84       92.4      866.0
   0.531      85       94.6      868.0
   0.548      86       96.4      866.9
   0.565      87       98.8      866.6
   0.582      88      100.6      866.3
   0.599      89      102.8      865.3
   0.616      90      104.8      865.0
   0.633      91      107.1      867.4
   0.651      92      110.0      870.0
   0.669      93      113.0      869.2
   0.687      94      116.0      868.8
   0.703      95      118.0      870.9
   0.720      96      119.0      869.3
   0.738      97      120.2      866.8
   0.755      98      121.6      867.3
   0.772      99      123.2      866.1
   0.788     100      124.9      864.8
   0.805     101      126.0      863.5
   0.822     102      127.6      861.9
   0.839     103      129.2      860.3
   0.856     104      131.7      858.9
   0.873     105      134.0      857.0
   0.890     106      136.7      858.0
   0.907     107      139.0      857.7
   0.923     108      141.2      855.6
   0.940     109      143.3      855.7
   0.957     110      145.8      853.1
   0.976     111      148.0      851.3
   0.992     112      150.2      849.8
   1.009     113      152.7      848.2
   1.044     114      155.6      848.8
   1.047     115      158.5      849.7
   1.059     116      161.2      847.6
   1.076     117      163.8      848.1
   1.093     118      166.5      846.4
   1.110     119      168.9      847.6
   1.127     120      171.5      844.6
   1.146     121      173.9      841.5
   1.162     122      176.1      841.7
   1.179     123      178.7      842.4
   1.195     124      180.6      840.4
   1.212     125      182.6      840.2
   1.229     126      184.4      839.8
   1.246     127      186.8      840.1
   1.263     128      189.6      841.2
   1.280     129      191.6      843.8
   1.297     130      193.8      845.0
   1.314     131      195.9      847.7
   1.331     132      198.4      849.1
   1.349     133      200.6      850.5
   1.365     134      202.6      851.4
   1.384     135      204.5      852.0
   1.400     136      207.1      853.5
   1.417     137      209.6      856.1
   1.434     138      212.3      856.5
   1.451     139      214.0      857.4
   1.469     140      216.4      859.8
   1.485     141      218.6      861.5
   1.502     142      220.9      863.4
   1.519     143      222.8      863.6
   1.536     144      225.0      863.7
   1.553     145      227.0      862.5
   1.570     146      222.9      859.0
   1.588     147      224.8      859.3
   1.604     148      227.2      859.7
   1.621     149      230.1      860.5
   1.638     150      232.5      861.0
   1.655     151      235.3      859.8
   1.672     152      239.0      861.2
   1.688     153      241.5      859.5
   1.706     154      243.7      859.9
   1.723     155      246.6      863.3
   1.739     156      249.3      862.0
   1.755     157      251.6      862.6
   1.772     158      253.3      860.9
   1.789     159      255.1      861.0
   1.806     160      257.2      861.3
   1.823     161      259.2      862.4
   1.841     162      261.5      866.3
   1.858     163      263.8      867.1
   1.875     164      265.7      867.6
   1.891     165      268.8      870.4
   1.908     166      270.7      871.4
   1.925     167      272.9      869.7
   1.944     168      274.1      869.9
   1.962     169      275.7      870.1
   1.978     170      277.6      870.9
   1.996     171      279.6      871.0
   2.012     172      281.6      868.9
   2.029     173      283.3      867.2
   2.048     174      285.7      870.7
   2.064     175      287.6      869.3
   2.081     176      289.5      869.6
   2.099     177      291.3      872.4
   2.116     178      293.9      874.6
   2.132     179      295.7      877.7
   2.149     180      297.2      881.7
   2.166     181      299.6      884.7
   2.183     182      301.9      888.0
   2.200     183      304.5      891.3
   2.217     184      307.0      894.6
   2.234     185      310.1      897.1
   2.251     186      312.6      899.3
   2.268     187      314.3      901.9
   2.284     188      317.1      905.1
   2.301     189      319.6      905.6
   2.318     190      321.9      908.3
   2.337     191      324.1      911.2
   2.352     192      326.7      914.1
