KF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=6568.4  y=985.2
   3.146     187     6571.2      926.4
   3.164     188     6571.4      926.1
   3.182     189     6571.8      925.7
   3.200     190     6571.9      925.8
   3.218     191     6572.0      926.1
   3.234     192     6572.1      925.8
   3.252     193     6572.0      925.4
   3.269     194     6572.0      925.5
   3.285     195     6571.9      925.5
   3.303     196     6571.9      925.4
   3.321     197     6572.0      925.1
   3.340     198     6572.1      925.3
   3.358     199     6572.4      925.4
   3.376     200     6572.7      925.7
   3.394     201     6573.0      925.2
   3.412     202     6573.0      925.1
   3.428     203     6573.4      925.2
   3.446     204     6573.6      925.3
   3.464     205     6573.8      925.4
   3.481     206     6574.1      925.8
   3.499     207     6574.3      926.1
   3.517     208     6574.5      926.5
   3.533     209     6574.8      926.9
   3.550     210     6574.8      927.0
   3.569     211     6574.8      926.7
   3.585     212     6574.8      926.7
   3.602     213     6574.6      926.5
   3.619     214     6574.5      926.3
   3.635     215     6574.5      926.6
   3.651     216     6574.5      926.7
   3.668     217     6574.7      926.6
   3.684     218     6574.6      926.6
   3.701     219     6574.7      926.6
   3.718     220     6574.9      926.8
   3.735     221     6574.6      926.9
   3.752     222     6574.3      927.0
   3.769     223     6574.0      927.0
   3.787     224     6573.9      926.9
   3.803     225     6573.6      926.5
   3.820     226     6573.7      926.5
   3.839     227     6573.8      926.2
   3.856     228     6573.9      926.3
   3.873     229     6573.9      926.8
   3.890     230     6574.0      927.2
   3.906     231     6574.3      927.3
   3.923     232     6574.1      927.2
   3.940     233     6574.1      927.1
   3.957     234     6574.4      927.1
   3.974     235     6574.2      927.0
   3.991     236     6574.1      927.0
   4.008     237     6574.3      927.0
   4.025     238     6574.2      926.7
   4.041     239     6574.1      926.9
   4.058     240     6574.1      926.8
   4.075     241     6574.1      926.8
   4.092     242     6573.9      926.6
   4.109     243     6573.6      926.3
   4.126     244     6573.5      926.3
   4.143     245     6573.2      926.3
   4.160     246     6573.1      926.0
   4.176     247     6573.2      926.1
   4.193     248     6573.0      925.9
   4.209     249     6572.9      925.9
   4.226     250     6572.8      926.2
   4.243     251     6572.6      926.2
   4.260     252     6572.4      925.9
   4.278     253     6572.1      925.8
   4.295     254     6571.9      925.6
   4.312     255     6571.9      926.1
   4.328     256     6571.8      925.8
   4.345     257     6572.2      925.8
   4.362     258     6571.8      925.8
   4.379     259     6571.6      925.8
   4.396     260     6571.4      926.1
   4.413     261     6571.1      926.0
   4.430     262     6571.2      926.0
   4.447     263     6571.2      925.7
   4.463     264     6571.4      925.5
   4.480     265     6571.5      925.5
   4.497     266     6571.4      925.7
   4.514     267     6571.5      925.4
   4.531     268     6571.6      925.0
   4.548     269     6571.6      925.3
   4.565     270     6571.4      925.2
   4.582     271     6571.1      925.3
   4.598     272     6571.4      925.2
   4.615     273     6571.4      924.7
   4.632     274     6571.3      924.6
   4.674     275     6571.3      925.0
   4.677     276     6571.5      925.0
   4.683     277     6571.5      925.1
   4.700     278     6571.9      925.3
   4.717     279     6571.9      925.4
   4.737     280     6571.9      925.6
   4.753     281     6571.8      925.5
   4.770     282     6571.7      925.6
   4.787     283     6572.0      925.4
   4.804     284     6572.0      925.5
   4.821     285     6572.0      925.7
   4.837     286     6572.0      925.5
   4.854     287     6571.9      925.6
   4.871     288     6571.7      925.6
   4.887     289     6571.6      925.6
   4.904     290     6571.6      925.3
   4.921     291     6571.7      925.4
   4.938     292     6571.4      925.6
   4.954     293     6571.4      925.4
   4.971     294     6571.6      925.5
   4.988     295     6571.7      925.3
   5.004     296     6571.9      925.0
   5.022     297     6572.1      925.2
   5.039     298     6572.3      925.5
   5.056     299     6572.5      925.8
   5.073     300     6572.7      926.0
   5.090     301     6572.7      926.0
   5.107     302     6572.6      926.1
   5.123     303     6572.5      926.1
   5.140     304     6572.3      926.2
